Query	Taxid	Tax name	Authority	Rank	Basionym	Basionym authority	Curator common name	Has type material	Group name	Domain/Realm name	Domain/Realm taxid	Kingdom name	Kingdom taxid	Phylum name	Phylum taxid	Class name	Class taxid	Order name	Order taxid	Family name	Family taxid	Genus name	Genus taxid	Species name	Species taxid	Scientific name is formal
1147130	1147130	Pasteurella multocida subsp. multocida str. HB03		STRAIN				no	g-proteobacteria	Bacteria	2	Pseudomonadati	3379134	Pseudomonadota	1224	Gammaproteobacteria	1236	Pasteurellales	135625	Pasteurellaceae	712	Pasteurella	745	Pasteurella multocida	747	FALSE
1155384	1155384	Glutamicibacter sp. ZJUTW		SPECIES				no	high G+C Gram-positive bacteria	Bacteria	2	Bacillati	1783272	Actinomycetota	201174	Actinomycetes	1760	Micrococcales	85006	Micrococcaceae	1268	Glutamicibacter	1742989	Glutamicibacter sp. ZJUTW	1155384	FALSE
115545	115545	Pasteurella multocida subsp. septica	Mutters et al. 1985	SUBSPECIES				yes	g-proteobacteria	Bacteria	2	Pseudomonadati	3379134	Pseudomonadota	1224	Gammaproteobacteria	1236	Pasteurellales	135625	Pasteurellaceae	712	Pasteurella	745	Pasteurella multocida	747	TRUE
1160718	1160718	Streptomyces auratus AGR0001		STRAIN				no	high G+C Gram-positive bacteria	Bacteria	2	Bacillati	1783272	Actinomycetota	201174	Actinomycetes	1760	Kitasatosporales	85011	Streptomycetaceae	2062	Streptomyces	1883	Streptomyces auratus	114687	FALSE
116188	116188	Streptomyces coeruleorubidus	(Preobrazhenskaya 1957) Pridham et al. 1958 (Approved Lists 1980)	SPECIES	"Actinomyces coeruleorubidus"	Preobrazhenskaya in Gauze et al. 1957		yes	high G+C Gram-positive bacteria	Bacteria	2	Bacillati	1783272	Actinomycetota	201174	Actinomycetes	1760	Kitasatosporales	85011	Streptomycetaceae	2062	Streptomyces	1883	Streptomyces coeruleorubidus	116188	TRUE
1163739	1163739	Helicobacter pylori Shi417		STRAIN				no	e-proteobacteria	Bacteria	2	Pseudomonadati	3379134	Campylobacterota	29547	Epsilonproteobacteria	3031852	Campylobacterales	213849	Helicobacteraceae	72293	Helicobacter	209	Helicobacter pylori	210	FALSE
1163741	1163741	Helicobacter pylori Shi169		STRAIN				no	e-proteobacteria	Bacteria	2	Pseudomonadati	3379134	Campylobacterota	29547	Epsilonproteobacteria	3031852	Campylobacterales	213849	Helicobacteraceae	72293	Helicobacter	209	Helicobacter pylori	210	FALSE
1163745	1163745	Helicobacter cetorum MIT 99-5656		STRAIN				no	e-proteobacteria	Bacteria	2	Pseudomonadati	3379134	Campylobacterota	29547	Epsilonproteobacteria	3031852	Campylobacterales	213849	Helicobacteraceae	72293	Helicobacter	209	Helicobacter cetorum	138563	FALSE
1169025	1169025	Streptomyces pratensis	Rong et al. 2014	SPECIES				yes	high G+C Gram-positive bacteria	Bacteria	2	Bacillati	1783272	Actinomycetota	201174	Actinomycetes	1760	Kitasatosporales	85011	Streptomycetaceae	2062	Streptomyces	1883	Streptomyces pratensis	1169025	TRUE
1171377	1171377	Bibersteinia trehalosi USDA-ARS-USMARC-192		STRAIN				no	g-proteobacteria	Bacteria	2	Pseudomonadati	3379134	Pseudomonadota	1224	Gammaproteobacteria	1236	Pasteurellales	135625	Pasteurellaceae	712	Bibersteinia	476528	Bibersteinia trehalosi	47735	FALSE
1172567	1172567	Streptomyces globisporus C-1027		STRAIN				no	high G+C Gram-positive bacteria	Bacteria	2	Bacillati	1783272	Actinomycetota	201174	Actinomycetes	1760	Kitasatosporales	85011	Streptomycetaceae	2062	Streptomyces	1883	Streptomyces globisporus	1908	FALSE
1183379	1183379	Campylobacter coli RM4661		STRAIN				no	e-proteobacteria	Bacteria	2	Pseudomonadati	3379134	Campylobacterota	29547	Epsilonproteobacteria	3031852	Campylobacterales	213849	Campylobacteraceae	72294	Campylobacter	194	Campylobacter coli	195	FALSE
1184252	1184252	Streptococcus suis S735		STRAIN				no	firmicutes	Bacteria	2	Bacillati	1783272	Bacillota	1239	Bacilli	91061	Lactobacillales	186826	Streptococcaceae	1300	Streptococcus	1301	Streptococcus suis	1307	FALSE
1188315	1188315	Streptomyces sp. AgN23		SPECIES				no	high G+C Gram-positive bacteria	Bacteria	2	Bacillati	1783272	Actinomycetota	201174	Actinomycetes	1760	Kitasatosporales	85011	Streptomycetaceae	2062	Streptomyces	1883	Streptomyces sp. AgN23	1188315	FALSE
1192842	1192842	Salmonella enterica subsp. diarizonae serovar 48:i:z		NO_RANK				no	enterobacteria	Bacteria	2	Pseudomonadati	3379134	Pseudomonadota	1224	Gammaproteobacteria	1236	Enterobacterales	91347	Enterobacteriaceae	543	Salmonella	590	Salmonella enterica	28901	FALSE
1197719	1197719	Salmonella bongori N268-08		STRAIN				no	enterobacteria	Bacteria	2	Pseudomonadati	3379134	Pseudomonadota	1224	Gammaproteobacteria	1236	Enterobacterales	91347	Enterobacteriaceae	543	Salmonella	590	Salmonella bongori	54736	FALSE
1199191	1199191	Legionella pneumophila subsp. pneumophila str. Thunder Bay		STRAIN				no	g-proteobacteria	Bacteria	2	Pseudomonadati	3379134	Pseudomonadota	1224	Gammaproteobacteria	1236	Legionellales	118969	Legionellaceae	444	Legionella	445	Legionella pneumophila	446	FALSE
1201032	1201032	Campylobacter jejuni subsp. jejuni PT14		STRAIN				no	e-proteobacteria	Bacteria	2	Pseudomonadati	3379134	Campylobacterota	29547	Epsilonproteobacteria	3031852	Campylobacterales	213849	Campylobacteraceae	72294	Campylobacter	194	Campylobacter jejuni	197	FALSE
1202962	1202962	Moritella marina ATCC 15381		STRAIN				no	g-proteobacteria	Bacteria	2	Pseudomonadati	3379134	Pseudomonadota	1224	Gammaproteobacteria	1236	Alteromonadales	135622	Moritellaceae	267891	Moritella	58050	Moritella marina	90736	FALSE
1211776	1211776	Campylobacter jejuni subsp. jejuni NCTC 11168-BN148		NO_RANK				no	e-proteobacteria	Bacteria	2	Pseudomonadati	3379134	Campylobacterota	29547	Epsilonproteobacteria	3031852	Campylobacterales	213849	Campylobacteraceae	72294	Campylobacter	194	Campylobacter jejuni	197	FALSE
1214242	1214242	Streptomyces collinus Tu 365		STRAIN				no	high G+C Gram-positive bacteria	Bacteria	2	Bacillati	1783272	Actinomycetota	201174	Actinomycetes	1760	Kitasatosporales	85011	Streptomycetaceae	2062	Streptomyces	1883	Streptomyces collinus	42684	FALSE
1218177	1218177	Streptomyces sp. GBA 94-10 4N24		SPECIES				no	high G+C Gram-positive bacteria	Bacteria	2	Bacillati	1783272	Actinomycetota	201174	Actinomycetes	1760	Kitasatosporales	85011	Streptomycetaceae	2062	Streptomyces	1883	Streptomyces sp. GBA 94-10 4N24	1218177	FALSE
1222034	1222034	Mannheimia haemolytica USDA-ARS-USMARC-184		STRAIN				no	g-proteobacteria	Bacteria	2	Pseudomonadati	3379134	Pseudomonadota	1224	Gammaproteobacteria	1236	Pasteurellales	135625	Pasteurellaceae	712	Mannheimia	75984	Mannheimia haemolytica	75985	FALSE
1223523	1223523	Streptomyces mobaraensis NBRC 13819 = DSM 40847		STRAIN				no	high G+C Gram-positive bacteria	Bacteria	2	Bacillati	1783272	Actinomycetota	201174	Actinomycetes	1760	Kitasatosporales	85011	Streptomycetaceae	2062	Streptomyces	1883	Streptomyces mobaraensis	35621	FALSE
122586	122586	Neisseria meningitidis MC58		STRAIN				no	b-proteobacteria	Bacteria	2	Pseudomonadati	3379134	Pseudomonadota	1224	Betaproteobacteria	28216	Neisseriales	206351	Neisseriaceae	481	Neisseria	482	Neisseria meningitidis	487	FALSE
1232659	1232659	Haemophilus influenzae 2019		STRAIN				no	g-proteobacteria	Bacteria	2	Pseudomonadati	3379134	Pseudomonadota	1224	Gammaproteobacteria	1236	Pasteurellales	135625	Pasteurellaceae	712	Haemophilus	724	Haemophilus influenzae	727	FALSE
123812	123812	Pasteurella multocida subsp. gallicida	Mutters et al. 1985	SUBSPECIES				yes	g-proteobacteria	Bacteria	2	Pseudomonadati	3379134	Pseudomonadota	1224	Gammaproteobacteria	1236	Pasteurellales	135625	Pasteurellaceae	712	Pasteurella	745	Pasteurella multocida	747	TRUE
123824	123824	Frederiksenia canicola	Korczak et al. 2014	SPECIES				yes	g-proteobacteria	Bacteria	2	Pseudomonadati	3379134	Pseudomonadota	1224	Gammaproteobacteria	1236	Pasteurellales	135625	Pasteurellaceae	712	Frederiksenia	1649317	Frederiksenia canicola	123824	TRUE
1242091	1242091	Salmonella enterica subsp. enterica serovar Djakarta str. S-1087		STRAIN				no	enterobacteria	Bacteria	2	Pseudomonadati	3379134	Pseudomonadota	1224	Gammaproteobacteria	1236	Enterobacterales	91347	Enterobacteriaceae	543	Salmonella	590	Salmonella enterica	28901	FALSE
1244531	1244531	Campylobacter iguaniorum	Gilbert et al. 2015	SPECIES				yes	e-proteobacteria	Bacteria	2	Pseudomonadati	3379134	Campylobacterota	29547	Epsilonproteobacteria	3031852	Campylobacterales	213849	Campylobacteraceae	72294	Campylobacter	194	Campylobacter iguaniorum	1244531	TRUE
1246305	1246305	Vibrio vulnificus Env1		STRAIN				no	g-proteobacteria	Bacteria	2	Pseudomonadati	3379134	Pseudomonadota	1224	Gammaproteobacteria	1236	Vibrionales	135623	Vibrionaceae	641	Vibrio	662	Vibrio vulnificus	672	FALSE
1246365	1246365	Streptococcus suis SC070731		STRAIN				no	firmicutes	Bacteria	2	Bacillati	1783272	Bacillota	1239	Bacilli	91061	Lactobacillales	186826	Streptococcaceae	1300	Streptococcus	1301	Streptococcus suis	1307	FALSE
1249526	1249526	Mannheimia haemolytica USDA-ARS-USMARC-185		STRAIN				no	g-proteobacteria	Bacteria	2	Pseudomonadati	3379134	Pseudomonadota	1224	Gammaproteobacteria	1236	Pasteurellales	135625	Pasteurellaceae	712	Mannheimia	75984	Mannheimia haemolytica	75985	FALSE
1249531	1249531	Mannheimia haemolytica USDA-ARS-USMARC-183		STRAIN				no	g-proteobacteria	Bacteria	2	Pseudomonadati	3379134	Pseudomonadota	1224	Gammaproteobacteria	1236	Pasteurellales	135625	Pasteurellaceae	712	Mannheimia	75984	Mannheimia haemolytica	75985	FALSE
1261126	1261126	Mannheimia haemolytica D153		STRAIN				no	g-proteobacteria	Bacteria	2	Pseudomonadati	3379134	Pseudomonadota	1224	Gammaproteobacteria	1236	Pasteurellales	135625	Pasteurellaceae	712	Mannheimia	75984	Mannheimia haemolytica	75985	FALSE
1262452	1262452	Streptomyces sp. 769		SPECIES				no	high G+C Gram-positive bacteria	Bacteria	2	Bacillati	1783272	Actinomycetota	201174	Actinomycetes	1760	Kitasatosporales	85011	Streptomycetaceae	2062	Streptomyces	1883	Streptomyces sp. 769	1262452	FALSE
1263550	1263550	Edwardsiella piscicida	Abayneh et al. 2013	SPECIES				yes	enterobacteria	Bacteria	2	Pseudomonadati	3379134	Pseudomonadota	1224	Gammaproteobacteria	1236	Enterobacterales	91347	Hafniaceae	1903412	Edwardsiella	635	Edwardsiella piscicida	1263550	TRUE
1263829	1263829	Bibersteinia trehalosi USDA-ARS-USMARC-188		STRAIN				no	g-proteobacteria	Bacteria	2	Pseudomonadati	3379134	Pseudomonadota	1224	Gammaproteobacteria	1236	Pasteurellales	135625	Pasteurellaceae	712	Bibersteinia	476528	Bibersteinia trehalosi	47735	FALSE
1263831	1263831	Bibersteinia trehalosi USDA-ARS-USMARC-189		STRAIN				no	g-proteobacteria	Bacteria	2	Pseudomonadati	3379134	Pseudomonadota	1224	Gammaproteobacteria	1236	Pasteurellales	135625	Pasteurellaceae	712	Bibersteinia	476528	Bibersteinia trehalosi	47735	FALSE
1263832	1263832	Bibersteinia trehalosi USDA-ARS-USMARC-190		STRAIN				no	g-proteobacteria	Bacteria	2	Pseudomonadati	3379134	Pseudomonadota	1224	Gammaproteobacteria	1236	Pasteurellales	135625	Pasteurellaceae	712	Bibersteinia	476528	Bibersteinia trehalosi	47735	FALSE
1265601	1265601	Streptomyces sp. PAMC 26508		SPECIES				no	high G+C Gram-positive bacteria	Bacteria	2	Bacillati	1783272	Actinomycetota	201174	Actinomycetes	1760	Kitasatosporales	85011	Streptomycetaceae	2062	Streptomyces	1883	Streptomyces sp. PAMC 26508	1265601	FALSE
1265868	1265868	Streptomyces rimosus subsp. rimosus ATCC 10970		STRAIN				no	high G+C Gram-positive bacteria	Bacteria	2	Bacillati	1783272	Actinomycetota	201174	Actinomycetes	1760	Kitasatosporales	85011	Streptomycetaceae	2062	Streptomyces	1883	Streptomyces rimosus	1927	FALSE
1275971	1275971	Glaesserella parasuis D74		STRAIN				no	g-proteobacteria	Bacteria	2	Pseudomonadati	3379134	Pseudomonadota	1224	Gammaproteobacteria	1236	Pasteurellales	135625	Pasteurellaceae	712	Glaesserella	2094023	Glaesserella parasuis	738	FALSE
1276647	1276647	Streptococcus suis TL13		STRAIN				no	firmicutes	Bacteria	2	Bacillati	1783272	Bacillota	1239	Bacilli	91061	Lactobacillales	186826	Streptococcaceae	1300	Streptococcus	1301	Streptococcus suis	1307	FALSE
1288122	1288122	Edwardsiella piscicida C07-087		STRAIN				no	enterobacteria	Bacteria	2	Pseudomonadati	3379134	Pseudomonadota	1224	Gammaproteobacteria	1236	Enterobacterales	91347	Hafniaceae	1903412	Edwardsiella	635	Edwardsiella piscicida	1263550	FALSE
1295140	1295140	Haemophilus influenzae CGSHiCZ412602		STRAIN				no	g-proteobacteria	Bacteria	2	Pseudomonadati	3379134	Pseudomonadota	1224	Gammaproteobacteria	1236	Pasteurellales	135625	Pasteurellaceae	712	Haemophilus	724	Haemophilus influenzae	727	FALSE
129985	129985	Mesobacillus jeotgali	(Yoon et al. 2001) Patel and Gupta 2020	SPECIES	Bacillus jeotgali	Yoon et al. 2001		yes	firmicutes	Bacteria	2	Bacillati	1783272	Bacillota	1239	Bacilli	91061	Bacillales	1385	Bacillaceae	186817	Mesobacillus	2675231	Mesobacillus jeotgali	129985	TRUE
1303692	1303692	Streptomyces microflavus DSM 40593		STRAIN				no	high G+C Gram-positive bacteria	Bacteria	2	Bacillati	1783272	Actinomycetota	201174	Actinomycetes	1760	Kitasatosporales	85011	Streptomycetaceae	2062	Streptomyces	1883	Streptomyces microflavus	1919	FALSE
1304890	1304890	Pasteurella multocida OH1905		STRAIN				no	g-proteobacteria	Bacteria	2	Pseudomonadati	3379134	Pseudomonadota	1224	Gammaproteobacteria	1236	Pasteurellales	135625	Pasteurellaceae	712	Pasteurella	745	Pasteurella multocida	747	FALSE
1307	1307	Streptococcus suis	Kilpper-BaÌlz and Schleifer 1987	SPECIES				yes	firmicutes	Bacteria	2	Bacillati	1783272	Bacillota	1239	Bacilli	91061	Lactobacillales	186826	Streptococcaceae	1300	Streptococcus	1301	Streptococcus suis	1307	TRUE
1309806	1309806	Streptococcus agalactiae 09mas018883		STRAIN				no	firmicutes	Bacteria	2	Bacillati	1783272	Bacillota	1239	Bacilli	91061	Lactobacillales	186826	Streptococcaceae	1300	Streptococcus	1301	Streptococcus agalactiae	1311	FALSE
1309807	1309807	Streptococcus agalactiae ILRI005		STRAIN				no	firmicutes	Bacteria	2	Bacillati	1783272	Bacillota	1239	Bacilli	91061	Lactobacillales	186826	Streptococcaceae	1300	Streptococcus	1301	Streptococcus agalactiae	1311	FALSE
1311	1311	Streptococcus agalactiae	Lehmann and Neumann 1896	SPECIES				yes	firmicutes	Bacteria	2	Bacillati	1783272	Bacillota	1239	Bacilli	91061	Lactobacillales	186826	Streptococcaceae	1300	Streptococcus	1301	Streptococcus agalactiae	1311	TRUE
1311760	1311760	Mannheimia haemolytica D174		STRAIN				no	g-proteobacteria	Bacteria	2	Pseudomonadati	3379134	Pseudomonadota	1224	Gammaproteobacteria	1236	Pasteurellales	135625	Pasteurellaceae	712	Mannheimia	75984	Mannheimia haemolytica	75985	FALSE
1312904	1312904	Legionella pneumophila subsp. pneumophila LPE509		STRAIN				no	g-proteobacteria	Bacteria	2	Pseudomonadati	3379134	Pseudomonadota	1224	Gammaproteobacteria	1236	Legionellales	118969	Legionellaceae	444	Legionella	445	Legionella pneumophila	446	FALSE
1313172	1313172	Ilumatobacter coccineus YM16-304		STRAIN				no	actinobacteria	Bacteria	2	Bacillati	1783272	Actinomycetota	201174	Acidimicrobiia	84992	Acidimicrobiales	84993	Ilumatobacteraceae	2448023	Ilumatobacter	682522	Ilumatobacter coccineus	467094	FALSE
1316932	1316932	Mannheimia haemolytica M42548		STRAIN				no	g-proteobacteria	Bacteria	2	Pseudomonadati	3379134	Pseudomonadota	1224	Gammaproteobacteria	1236	Pasteurellales	135625	Pasteurellaceae	712	Mannheimia	75984	Mannheimia haemolytica	75985	FALSE
1321370	1321370	Idiomarina loihiensis GSL 199		STRAIN				no	g-proteobacteria	Bacteria	2	Pseudomonadati	3379134	Pseudomonadota	1224	Gammaproteobacteria	1236	Alteromonadales	135622	Idiomarinaceae	267893	Idiomarina	135575	Idiomarina loihiensis	135577	FALSE
132473	132473	Streptomyces alboniger	Porter et al. 1952 (Approved Lists 1980)	SPECIES				yes	high G+C Gram-positive bacteria	Bacteria	2	Bacillati	1783272	Actinomycetota	201174	Actinomycetes	1760	Kitasatosporales	85011	Streptomycetaceae	2062	Streptomyces	1883	Streptomyces alboniger	132473	TRUE
132474	132474	Streptomyces rimosus subsp. rimosus	Sobin et al. 1953	SUBSPECIES				yes	high G+C Gram-positive bacteria	Bacteria	2	Bacillati	1783272	Actinomycetota	201174	Actinomycetes	1760	Kitasatosporales	85011	Streptomycetaceae	2062	Streptomyces	1883	Streptomyces rimosus	1927	TRUE
1328770	1328770	Vibrio cortegadensis	Lasa et al. 2014	SPECIES				yes	g-proteobacteria	Bacteria	2	Pseudomonadati	3379134	Pseudomonadota	1224	Gammaproteobacteria	1236	Vibrionales	135623	Vibrionaceae	641	Vibrio	662	Vibrio cortegadensis	1328770	TRUE
1333528	1333528	Streptomyces sp. GMY02		SPECIES				no	high G+C Gram-positive bacteria	Bacteria	2	Bacillati	1783272	Actinomycetota	201174	Actinomycetes	1760	Kitasatosporales	85011	Streptomycetaceae	2062	Streptomyces	1883	Streptomyces sp. GMY02	1333528	FALSE
1334187	1334187	Haemophilus influenzae KR494		STRAIN				no	g-proteobacteria	Bacteria	2	Pseudomonadati	3379134	Pseudomonadota	1224	Gammaproteobacteria	1236	Pasteurellales	135625	Pasteurellaceae	712	Haemophilus	724	Haemophilus influenzae	727	FALSE
1338035	1338035	Campylobacter jejuni 32488		STRAIN				no	e-proteobacteria	Bacteria	2	Pseudomonadati	3379134	Campylobacterota	29547	Epsilonproteobacteria	3031852	Campylobacterales	213849	Campylobacteraceae	72294	Campylobacter	194	Campylobacter jejuni	197	FALSE
1339255	1339255	Pasteurella multocida subsp. multocida HB01		STRAIN				no	g-proteobacteria	Bacteria	2	Pseudomonadati	3379134	Pseudomonadota	1224	Gammaproteobacteria	1236	Pasteurellales	135625	Pasteurellaceae	712	Pasteurella	745	Pasteurella multocida	747	FALSE
1340842	1340842	Campylobacter jejuni subsp. jejuni str. RM3420		STRAIN				no	e-proteobacteria	Bacteria	2	Pseudomonadati	3379134	Campylobacterota	29547	Epsilonproteobacteria	3031852	Campylobacterales	213849	Campylobacteraceae	72294	Campylobacter	194	Campylobacter jejuni	197	FALSE
