Assembly Accession	Assembly BioSample Geographic location	Assembly BioSample Host	Assembly BioSample Host disease	Assembly BioSample Isolation source	Assembly Stats GC Percent	Assembly Stats Total Sequence Length	Organelle Assembly Name	Organism Name	Organism Taxonomic ID	Annotation Count Gene Protein-coding
GCF_000521605.1	USA: Nebraska	Bos taurus			39.5	2393449		Mannheimia sp. USDA-ARS-USMARC-1261	1432056	2261
GCF_000521685.1	USA: Nebraska	Bos taurus			40.5	2228291		Mannheimia varigena USDA-ARS-USMARC-1388	1434215	2024
GCF_000698365.1	Czech Republic	Homo sapiens	otitis media	middle ear fluid, child	38	1811802		Haemophilus influenzae CGSHiCZ412602	1295140	1647
GCF_000740985.1	China	pig		lung	40	2265927		Glaesserella parasuis	738	2094
GCF_000743945.1	Switzerland: Basel	Melopsittacus undulatus		lung	40.5	1959069		Basilea psittacipulmonis DSM 24701	1072685	1644
GCF_000759575.2	missing	Homo sapiens	Guillain Barre syndrome	Guillain Barre syndrome patient	30.5	1778460		Campylobacter jejuni	197	1800
GCF_000767075.1	Finland	Homo sapiens	otitis media	middle ear	38	1850897		Haemophilus influenzae	727	1711
GCF_000787195.2	United Kingdom	Homo sapiens	Not known	not known	51.5	2173191		Neisseria meningitidis	487	1921
GCF_000800235.1	Brazil	Homo sapiens	Invasive meningococcal disease	missing	51.5	2195266		Neisseria meningitidis	487	1980
GCF_000800315.1	United Kingdom: Scotland	Homo sapiens	Invasive meningococcal disease	human	51.5	2196674		Neisseria meningitidis	487	1965
GCF_000800355.1	Canada	Homo sapiens	Invasive meningococcal disease	missing	51.5	2199215		Neisseria meningitidis	487	1973
GCF_000801145.1	unknown			unknown	40.5	2431533		Actinobacillus equuli subsp. equuli	202947	2197
GCF_000819525.2	USA: Kansas	Bos taurus			41	2524779		Mannheimia haemolytica USDA-ARS-USMARC-184	1222034	2316
GCF_000829015.1	Japan	Homo sapiens			28.5	3901300		Clostridium botulinum	1491	3470
GCF_000830775.1	missing				30.5	1641481		Campylobacter jejuni subsp. jejuni NCTC 11168-K12E5	1385720	1601
GCF_000830805.1	missing				30.5	1641480		Campylobacter jejuni subsp. jejuni NCTC 11168-Kf1	1385723	1601
GCF_000830825.1	missing				30.5	1641471		Campylobacter jejuni subsp. jejuni NCTC 11168-mcK12E5	1385721	1599
GCF_000830845.1	missing				30.5	1641469		Campylobacter jejuni subsp. jejuni NCTC 11168-mfK12E5	1385722	1602
GCF_000830865.1	missing				30.5	1641482		Campylobacter jejuni subsp. jejuni NCTC 11168-GSv	1385724	1603
GCF_000835345.1	Canada: New Brunswick	Homo sapiens	Campylobacter gastroenteritis	not applicable	30.5	1827840		Campylobacter jejuni subsp. jejuni	32022	1856
GCF_000835365.1	Canada: Quebec	Homo sapiens	Campylobacter gastroenteritis	not applicable	30.5	1831013		Campylobacter jejuni subsp. jejuni	32022	1856
GCF_000931575.1		Homo sapiens		finnish OM study group	38	1846259		Haemophilus influenzae	727	1703
GCF_000931625.1		Homo sapiens		finnish OM study group	38	1887620		Haemophilus influenzae	727	1759
GCF_000969315.2	Mexico	Chicken			41	2532404		Avibacterium paragallinarum	728	2356
GCF_001029815.1	Iceland				51.5	2187672		Neisseria meningitidis	487	1953
GCF_001299565.1	South Africa: Cape Town	Homo sapiens	Guillain-Barre syndrome	Cape Town, South Africa	30.5	1664565		Campylobacter jejuni subsp. jejuni	32022	1611
GCF_001299595.1	South Africa: Cape Town	Homo sapiens	Guillain-Barre syndrome	Cape Town, South Africa	30.5	1664566		Campylobacter jejuni subsp. jejuni	32022	1610
GCF_001302565.1	China:Jiangsu			Inner tissues of halophyte Limonium sinense (Girard) Kuntze	60	3918424		Glutamicibacter halophytocola	1933880	3560
GCF_001314285.1	USA: Albany CA			Exudate from chicken breast purchased at a retail location	30.5	1635803		Campylobacter jejuni	197	1583
GCF_001454985.1	China: Xingtai, Hebei			petroleum-contaminated soil	64	4018639		Arthrobacter sp. YC-RL1	1652545	3701
GCF_001457555.1	USA	Homo sapiens		inflamed gingiva	27	2455060		Fusobacterium polymorphum	76857	2289
GCF_001457655.1	United Kingdom	unknown		not known	38	1890645		Haemophilus influenzae	727	1758
GCF_001483965.1	Antarctica			seawater	38	2614401		Carnobacterium sp. CP1	1564681	2367
GCF_001543175.1	Denmark: Copenhagen	Homo sapiens	Urinary tract infection	Human urine	42.5	1974262		Aerococcus urinae	1376	1725
GCF_001578145.1	China:Zhejiang	Homo sapiens	NA	sputum	39	4172609		Acinetobacter baumannii	470	3841
GCF_001587015.1	USA	chicken		liver	30	1826322		Campylobacter jejuni	197	1800
GCF_001587035.1	USA	chicken		gizzard	30.5	1801450		Campylobacter jejuni	197	1767
GCF_001590615.2	USA: Pennsylvania			environment	38	3389966		Legionella pneumophila subsp. pascullei	91890	2936
GCF_001590645.1	USA: Pennsylvania			environment	38	3458918		Legionella pneumophila subsp. pascullei	91890	3010
GCF_001590695.1	USA: Pennsylvania			sputum	38	3376636		Legionella pneumophila subsp. pascullei	91890	2938
GCF_001606005.1	China: Yellow Sea				64	3862244		Brevibacterium linens	1703	3364
GCF_001643995.1	USA: California	alpaca		feces	36	1544095		Campylobacter iguaniorum	1244531	1608
GCF_001647695.1	Vanuatu	Homo sapiens	missing	cutaneous ulcer	38	1589620		[Haemophilus] ducreyi	730	1398
GCF_001647815.1	Ghana	Homo sapiens	missing	cutaneous ulcer	38	1622156		[Haemophilus] ducreyi	730	1412
GCF_001647835.1	Ghana	Homo sapiens	missing	cutaneous ulcer	38	1634243		[Haemophilus] ducreyi	730	1401
GCF_001652645.1	USA: New York			clinical isolate	38.5	3435648		Legionella pneumophila	446	2981
GCF_001652665.1	USA: New York			environmental	38.5	3436178		Legionella pneumophila	446	2977
GCF_001652685.1	USA: New York			clinical isolate	38.5	3444702		Legionella pneumophila	446	2989
GCF_001677115.2	USA: Pontiac, Michigan			environmental	38.5	3545003		Legionella pneumophila	446	3101
GCF_001687475.2	Australia: Victoria	Gallus gallus			28	1520669		Campylobacter hepaticus	1813019	1423
GCF_001697105.1	Germany	Homo sapiens		nasopharynx	51.5	2230103		Neisseria meningitidis	487	2000
GCF_001697125.1	Germany	Homo sapiens		nasopharynx	51.5	2170619		Neisseria meningitidis	487	1929
GCF_001697165.1	Germany	Homo sapiens		nasopharynx	52	2207932		Neisseria meningitidis	487	1997
GCF_001697205.1	Germany	Homo sapiens		nasopharynx	52	2206847		Neisseria meningitidis	487	2009
GCF_001697305.1	Mauritius	Homo sapiens	missing	missing	51.5	2173408		Neisseria meningitidis	487	1948
GCF_001697325.1	Mali	Homo sapiens	missing	missing	51.5	2173879		Neisseria meningitidis	487	1936
GCF_001697345.1	Benin	Homo sapiens	missing	missing	51.5	2173686		Neisseria meningitidis	487	1943
GCF_001697365.1	Benin	Homo sapiens	missing	missing	51.5	2182171		Neisseria meningitidis	487	1944
GCF_001697385.1	Burkina Faso	Homo sapiens	missing	missing	52	2161510		Neisseria meningitidis	487	1932
GCF_001697405.1	Mali	Homo sapiens	missing	missing	51.5	2172699		Neisseria meningitidis	487	1936
GCF_001697425.1	Saudi Arabia	Homo sapiens	missing	missing	51.5	2173513		Neisseria meningitidis	487	1938
GCF_001697445.1	Burkina Faso	Homo sapiens	missing	missing	51.5	2172576		Neisseria meningitidis	487	1944
GCF_001697465.1	Burkina Faso	Homo sapiens	missing	missing	52	2162199		Neisseria meningitidis	487	1935
GCF_001697485.1	Central African Republic	Homo sapiens	missing	missing	52	2157503		Neisseria meningitidis	487	1933
GCF_001697505.1	Niger	Homo sapiens	missing	missing	51.5	2185698		Neisseria meningitidis	487	1942
GCF_001697525.1	Senegal	Homo sapiens	missing	missing	51.5	2173607		Neisseria meningitidis	487	1942
GCF_001697545.1	Niger	Homo sapiens	missing	missing	51.5	2168495		Neisseria meningitidis	487	1933
GCF_001697565.1	Burkina Faso	Homo sapiens	missing	missing	52	2163399		Neisseria meningitidis	487	1940
GCF_001697585.1	Burkina Faso	Homo sapiens	missing	missing	51.5	2175362		Neisseria meningitidis	487	1940
GCF_001697605.1	Djibouti	Homo sapiens	missing	missing	51.5	2172426		Neisseria meningitidis	487	1940
GCF_001697625.1	Niger	Homo sapiens	missing	missing	51.5	2174791		Neisseria meningitidis	487	1933
GCF_001697645.1	Burkina Faso	Homo sapiens	missing	missing	51.5	2171975		Neisseria meningitidis	487	1940
GCF_001697665.1	Burkina Faso	Homo sapiens	missing	missing	51.5	2173723		Neisseria meningitidis	487	1940
GCF_001697685.1	Algeria	Homo sapiens	missing	missing	51.5	2172888		Neisseria meningitidis	487	1939
GCF_001697705.1	Mali	Homo sapiens	missing	missing	51.5	2168001		Neisseria meningitidis	487	1937
GCF_001697725.1	Burkina Faso	Homo sapiens	missing	missing	52	2154341		Neisseria meningitidis	487	1922
GCF_001697745.1	Burkina Faso	Homo sapiens	missing	missing	51.5	2174042		Neisseria meningitidis	487	1942
GCF_001697765.1	Burkina Faso	Homo sapiens	missing	missing	51.5	2173745		Neisseria meningitidis	487	1938
GCF_001697785.1	Burkina Faso	Homo sapiens	missing	missing	51.5	2170146		Neisseria meningitidis	487	1938
GCF_001697805.1	Niger	Homo sapiens	missing	missing	51.5	2168308		Neisseria meningitidis	487	1934
GCF_001697825.1	Mali	Homo sapiens	missing	missing	51.5	2167991		Neisseria meningitidis	487	1938
GCF_001697845.1	Niger	Homo sapiens	missing	missing	51.5	2180570		Neisseria meningitidis	487	1936
GCF_001697865.1	Burkina Faso	Homo sapiens	missing	missing	51.5	2172926		Neisseria meningitidis	487	1950
GCF_001697885.1	Burkina Faso	Homo sapiens	missing	missing	51.5	2173115		Neisseria meningitidis	487	1945
GCF_001697905.1	Mali	Homo sapiens	missing	missing	51.5	2177343		Neisseria meningitidis	487	1944
GCF_001697925.1	Mali	Homo sapiens	missing	missing	51.5	2169790		Neisseria meningitidis	487	1940
GCF_001697945.1	Burkina Faso	Homo sapiens	missing	missing	51.5	2168191		Neisseria meningitidis	487	1938
GCF_001697965.1	Burkina Faso	Homo sapiens	missing	missing	51.5	2173106		Neisseria meningitidis	487	1940
GCF_001697985.1	South Africa	Homo sapiens	missing	missing	51.5	2189560		Neisseria meningitidis	487	1973
GCF_001698005.1	Cameroon	Homo sapiens	missing	missing	51.5	2172899		Neisseria meningitidis	487	1940
GCF_001698025.1	Togo	Homo sapiens	missing	missing	51.5	2173901		Neisseria meningitidis	487	1930
GCF_001698045.1	Mali	Homo sapiens	missing	missing	51.5	2193742		Neisseria meningitidis	487	1975
GCF_001698065.1	Burkina Faso	Homo sapiens	missing	missing	52	2162376		Neisseria meningitidis	487	1937
GCF_001698085.1	Burkina Faso	Homo sapiens	missing	missing	51.5	2175832		Neisseria meningitidis	487	1952
GCF_001698105.1	Mali	Homo sapiens	missing	missing	52	2155494		Neisseria meningitidis	487	1926
GCF_001721945.1	USA: Michigan			Chicken Cecal Content	30.5	1652714		Campylobacter jejuni subsp. jejuni	32022	1600
GCF_001729525.1	NA			NA	62.5	4209935		Brevibacterium aurantiacum	273384	3752
GCF_001854205.2	Jamaica: Hector's Bay			shallow tropical waters, normally from coral reef substrate	43.5	9659941		Moorena producens JHB	1454205	7971
GCF_001886795.1	USA:Michigan,Detroit			missing	38.5	3515377		Legionella pneumophila subsp. fraseri	91892	3041
GCF_001886835.1	USA:Dallas			missing	38.5	3500943		Legionella pneumophila subsp. fraseri	91892	3026
GCF_001889265.1	Austria: Illmitz	Linum austriacum ssp. austriacum		roots	68	3620317		Microbacterium sp. 1.5R	1916917	3422
GCF_001921945.1	Australia			Not Available	28	4194523		Clostridium botulinum	1491	3816
GCF_001921965.1	Argentina			Not Available	28	4011842		Clostridium botulinum	1491	3600
GCF_001921985.1	Argentina			Not Available	28	4303351		Clostridium botulinum	1491	4031
GCF_001951235.1	United Kingdom			Farm	30.5	1821520		Campylobacter jejuni	197	1846
GCF_001951295.1	United Kingdom			Farm	30.5	1669964		Campylobacter jejuni	197	1613
GCF_001951315.1	United Kingdom			Farm	30.5	1675330		Campylobacter jejuni	197	1617
GCF_001951335.1	United Kingdom			Farm	30.5	1644447		Campylobacter jejuni	197	1590
GCF_001969405.1	USA:New York			missing	38.5	3439440		Legionella pneumophila	446	2982
GCF_001989475.1	USA: New York			missing	38.5	3439438		Legionella pneumophila	446	2985
GCF_002011945.1	Viet Nam: Hanoi	Homo sapiens	NA	NA	50.5	5223096		Escherichia coli	562	4883
GCF_002073235.2	USA:MD	Homo sapiens	Meningococcal infection	spinal fluid	51	2397461		Neisseria meningitidis	487	2122
GCF_002073275.2	USA:MA	Homo sapiens	Meningococcal infection	spinal fluid	51.5	2305818		Neisseria meningitidis	487	2033
GCF_002073475.2	USA:VA	Homo sapiens	Infection with Haemophilus infleunzae	human	38	1830681		Haemophilus influenzae	727	1674
GCF_002073555.2	USA:MA	Homo sapiens	Meningococcal infection	spinal fluid	51.5	2305805		Neisseria meningitidis	487	2037
GCF_002073595.2	USA:VA	Environment	Not Applicable	environmental	51.5	2273276		Neisseria meningitidis	487	2001
GCF_002101355.1	USA: Philadelphia			Calf Liver	30.5	1820488		Campylobacter jejuni	197	1813
GCF_002139895.1	USA: California			Goat, fecal	32	1754294		Campylobacter vicugnae	1660076	1755
GCF_002209025.1	USA:VA	Homo sapiens	Human campylobacteriosis	feces	30.5	1641468		Campylobacter jejuni	197	1598
GCF_002224325.1	NA	Homo sapiens			30.5	1645651		Campylobacter jejuni	197	1594
GCF_002356155.1	Japan:Toyama				68.5	3822982		Microbacterium sp. TPU 3598	1938334	3604
GCF_002556585.1	USA	Homo sapiens	bacterial meningitis	Sterile site	51.5	2247997		Neisseria meningitidis	487	2058
GCF_002587105.1	USA:VA	Homo sapiens	Missing	human	30.5	1690358		Campylobacter jejuni	197	1642
GCF_002777395.1	Sweden	Sus scrofa domestica			39.5	2479163		Glaesserella parasuis D74	1275971	2241
GCF_002813715.1	USA: New York, New York City			clinical isolate from sputum	38.5	3459119		Legionella pneumophila	446	3000
GCF_002813735.1	USA:New York, New York City			clinical isolate from respiratory specimen	38.5	3460779		Legionella pneumophila	446	3000
GCF_002849715.1	USA			soil	64.5	5032705		Crystallibacter crystallopoietes	37928	4559
GCF_002849775.1	Australia: Victoria	Sus scrofa			40.5	2399550		Glaesserella sp. 15-184	2030797	2205
GCF_002850575.1	South Korea: Daejeon	Galleria mellonella		gut (3-4th instar larva)	56	4796512		Enterobacter cancerogenus	69218	4353
GCF_002865805.1	Australia			Not Available	28	3914565		Clostridium botulinum	1491	3513
GCF_002865825.1	Argentina			Not Available	28	4154949		Clostridium botulinum	1491	3836
GCF_002865885.1	Argentina			Not Available	28	4084533		Clostridium botulinum	1491	3774
GCF_002866045.1	Argentina			Not Available	28	4169506		Clostridium botulinum	1491	3883
GCF_002866125.1	Argentina			Not Available	28	4050477		Clostridium botulinum	1491	3698
GCF_002866225.1	Argentina			Not Available	28	4109153		Clostridium botulinum	1491	3799
GCF_002934285.1	USA				61.5	5079402		Aeromonas sp. ASNIH1	1636606	4619
GCF_002951575.1	USA	Homo sapiens	not collected	not collected	51.5	2203850		Neisseria meningitidis	487	1989
GCF_002966615.1	USA: Buffalo, NY	Homo sapiens	Chronic obstructive pulmonary disease	sputum	38	1886450		Haemophilus influenzae	727	1738
GCF_002966635.1	USA: Buffalo, NY	Homo sapiens	Chronic obstructive pulmonary disease	sputum	38	1886411		Haemophilus influenzae	727	1739
GCF_002993305.1	China: Zhanjiang,Guangdong	Carrageenan			70	3478219		Microbacterium sp. str. 'China'	2103230	3348
GCF_002998595.1	USA: Boston, MA	Homo sapiens			38.5	1805716		Haemophilus sp. oral taxon 036	712310	1617
GCF_003003535.1	USA: New York	protozoa		not applicable	38	3581477		Legionella pneumophila	446	3128
GCF_003003555.1	USA: New York	Homo sapiens		not applicable	38	3546234		Legionella pneumophila subsp. raphaeli	3423900	3099
GCF_003003595.1	USA: California, Richmond	Homo sapiens		not applicable	38.5	3474810		Legionella pneumophila subsp. fraseri	91892	3009
GCF_003003675.1	Denmark	Homo sapiens		not applicable	38.5	3471959		Legionella pneumophila subsp. fraseri	91892	3000
GCF_003003815.1	USA: Washington, Bellingham	Homo sapiens		not applicable	38.5	3403366		Legionella pneumophila subsp. pneumophila	91891	2934
GCF_003003865.1	USA: Michigan, Royal Oak	Homo sapiens		not applicable	38.5	3611000		Legionella pneumophila subsp. fraseri	91892	3140
GCF_003004115.1	USA: Pennsylvania, Pittsburgh	protozoa		not applicable	38	3458918		Legionella pneumophila subsp. pascullei	91890	3012
GCF_003004175.1	USA: Alabama, Birmingham	Homo sapiens		not applicable	38.5	3436658		Legionella pneumophila subsp. pneumophila	91891	2992
GCF_003004195.1	USA: Pennsylvania, Philadelphia	Homo sapiens		not applicable	38.5	3557258		Legionella pneumophila	446	3057
GCF_003004235.1	USA: Delaware, Wilmington	Homo sapiens		not applicable	38.5	3639461		Legionella pneumophila	446	3165
GCF_003004255.1	USA: Pennsylvania, Pittsburgh	protozoa		not applicable	38.5	3550044		Legionella pneumophila subsp. fraseri	91892	3093
GCF_003004295.1	USA: Pennsylvania, Allentown	Homo sapiens		not applicable	38.5	3657021		Legionella pneumophila subsp. pneumophila	91891	3204
GCF_003019695.1	Not determined	Homo sapiens		Tonsil	32.5	1678881		Fusobacterium gonidiaformans ATCC 25563	469615	1592
GCF_003060725.1	United Kingdom:London			chicken	30.5	1705686		Campylobacter jejuni	197	1676
GCF_003060745.1	United Kingdom:Preston			chicken	30.5	1684042		Campylobacter jejuni	197	1650
GCF_003060785.1	United Kingdom: Preston			chicken	30.5	1634231		Campylobacter jejuni	197	1586
GCF_003097535.1	South Korea			freshwater	43.5	3552756		Flavobacterium pallidum	2172098	2913
GCF_003253795.1	South Korea: Bundang	Homo sapiens		adult feces	49	4498956		Hafnia alvei	569	3916
GCF_003261035.1	Ireland: Sligo	Bos taurus	Mastitis	Irish Farm	40.5	2167239		Mannheimia varigena	85404	1956
GCF_003286595.3	USA: Maywood, IL	Homo sapiens			42	2125064		Aerococcus mictus	2976810	1860
GCF_003287015.1	USA: Iowa	Bos taurus		ocular secretion	44	2911207		Moraxella bovis	476	2860
GCF_003288155.1	China: Shanghai	pig		lung	40	2248335		Glaesserella parasuis	738	2058
GCF_003351405.1	not applicable	Homo sapiens	not collected	not collected	38.5	1916320		Haemophilus haemolyticus	726	1737
GCF_003351445.1	not applicable	Homo sapiens	not collected	not collected	38	1860196		Haemophilus influenzae	727	1711
GCF_003351605.1	not applicable	Homo sapiens	not collected	not collected	38	1804746		Haemophilus influenzae	727	1637
GCF_003351625.1	not applicable	Homo sapiens	not collected	not collected	38.5	1822569		Haemophilus haemolyticus	726	1656
GCF_003352345.1	not applicable	Homo sapiens	not collected	not collected	38	1914782		Haemophilus influenzae	727	1758
GCF_003352365.1	not applicable	Homo sapiens	not collected	not collected	38	1887933		Haemophilus influenzae	727	1721
GCF_003352385.1	not applicable	Homo sapiens	not collected	not collected	38.5	1973061		Haemophilus haemolyticus	726	1784
GCF_003352405.1	not applicable	Homo sapiens	not collected	not collected	38	1919901		Haemophilus influenzae	727	1782
GCF_003355215.1	not applicable	Homo sapiens	not collected	not collected	51.5	2314390		Neisseria meningitidis	487	2025
GCF_003355235.1	not applicable	Homo sapiens	not collected	not collected	51.5	2181976		Neisseria meningitidis	487	1961
GCF_003355255.1	not applicable	Homo sapiens	not collected	not collected	51.5	2188300		Neisseria meningitidis	487	1972
GCF_003355275.1	not applicable	Homo sapiens	not collected	not collected	51.5	2264367		Neisseria meningitidis	487	2064
GCF_003355315.1	not applicable	Homo sapiens	not collected	not collected	51.5	2291778		Neisseria meningitidis	487	2023
GCF_003355335.1	not applicable	Homo sapiens	not collected	not collected	51.5	2207023		Neisseria meningitidis	487	2016
GCF_003355375.1	not applicable	Homo sapiens	not collected	not collected	51.5	2223855		Neisseria meningitidis	487	1993
GCF_003355395.1	not applicable	Homo sapiens	not collected	not collected	51.5	2239545		Neisseria meningitidis	487	1981
GCF_003355415.1	not applicable	Homo sapiens	not collected	not collected	51.5	2243169		Neisseria meningitidis	487	1982
GCF_003355435.1	not applicable	Homo sapiens	not collected	not collected	51.5	2280611		Neisseria meningitidis	487	2033
GCF_003425505.1	Spain:Catalunya	Homo sapiens	COPD	sputum	38.5	2013003		Haemophilus influenzae	727	1929
GCF_003425525.1	Spain:Catalunya	Homo sapiens	COPD	sputum	38	1897311		Haemophilus influenzae	727	1760
GCF_003425565.1	Spain:Catalunya	Homo sapiens	COPD	sputum	38	1858634		Haemophilus influenzae	727	1713
GCF_003425585.1	Spain:Catalunya	Homo sapiens	COPD	sputum	38	1840498		Haemophilus influenzae	727	1683
GCF_003425605.1	Spain:Catalunya	Homo sapiens	COPD	sputum	38	1858630		Haemophilus influenzae	727	1709
GCF_003425715.1	Spain:Catalunya	Homo sapiens	COPD	sputum	38	1848210		Haemophilus influenzae	727	1697
GCF_003425935.1	Spain:Catalunya	Homo sapiens	COPD	sputum	38	1849483		Haemophilus influenzae	727	1692
GCF_003425955.1	Spain:Catalunya	Homo sapiens	COPD	sputum	38	1904311		Haemophilus influenzae	727	1752
GCF_003443515.1	China: hangzhou	rice		rhizosphere	63	5169057		Chromobacterium rhizoryzae	1778675	4661
GCF_003574175.1	Japan:Miyazaki, Yae river				60.5	3726411		Geobacter sulfurreducens	35554	3316
GCF_003860385.1	USA	missing	missing	missing	49.5	4920619		Escherichia albertii	208962	4378
GCF_003864155.1	Peru	chicken			41	2425949		Avibacterium paragallinarum	728	2176
GCF_003932995.1	Not applicable			cheese	62.5	4038634		Brevibacterium aurantiacum	273384	3630
GCF_003952785.1	Japan: Tokyo				41.5	3736232		Acinetobacter johnsonii	40214	3382
GCF_003991855.1	French Guiana			radionuclide-contaminated soil	68	3906890		Microbacterium oxydans	82380	3732
GCF_003999295.1	Not applicable			cheese	63	4424341		Brevibacterium aurantiacum	273384	3921
GCF_003999335.1	Not applicable			Unknown	65	3814300		Brevibacterium linens	1703	3333
GCF_004135285.1	South Korea: Wanju-gun	Protaetia brevitarsis seulensis larva			68	3790483		Microbacterium protaetiae	2509458	3478
GCF_004322655.1	China: Zhejiang Province, Huzhou	Pelodiscus sinensis			35.5	5520756		Bacillus sp. SYJ	2529386	5391
GCF_004519515.1	China: Fujian province	swine		lung	40	2251645		Actinobacillus indolicus	51049	2081
GCF_004684345.1	South Korea: Chungbuk province	Rainbow trout		kidney	52	4946572		Citrobacter tructae	2562449	4512
GCF_004795855.1	Antarctica	soil			62	4850867		Hydrogenophaga sp. PAMC20947	2565558	4364
GCF_006351845.1	USA:MD			retail chicken	38	2694097		Enterococcus faecium	1352	2373
GCF_006385575.1	China:Jinan			water	67.5	3618786		Microbacterium foliorum	104336	3467
GCF_007833395.1	Argentina			soil	28	4211164		Clostridium botulinum	1491	3897
GCF_007833415.1	Argentina			soil	28	4108310		Clostridium botulinum	1491	3791
GCF_007833455.1	Australia			infant	28	3951228		Clostridium botulinum	1491	3507
GCF_007964805.1	USA: Nebraska	Bos taurus		lungs	41	2649758		Mannheimia haemolytica	75985	2546
GCF_007965105.1	USA: Arizona	Bos taurus		lungs	41	2715677		Mannheimia haemolytica	75985	2619
GCF_007973265.1	USA: Kansas	Bos taurus		nasopharynx	41	2590618		Mannheimia haemolytica	75985	2475
GCF_007973365.1	USA: Kansas	Bos taurus		nasopharynx	41	2590632		Mannheimia haemolytica	75985	2466
GCF_007973645.1	USA: Kansas	Bos taurus		nasopharynx	41	2591434		Mannheimia haemolytica	75985	2469
GCF_007973825.1	USA: Kansas	Bos taurus		nasopharynx	41	2594327		Mannheimia haemolytica	75985	2472
GCF_007974025.1	USA: Kansas	Bos taurus		nasopharynx	41	2593336		Mannheimia haemolytica	75985	2461
GCF_007974045.1	USA: Kansas	Bos taurus		nasopharynx	41	2590626		Mannheimia haemolytica	75985	2467
GCF_007974065.1	USA: Kansas	Bos taurus		nasopharynx	41	2593342		Mannheimia haemolytica	75985	2461
