target_ID	accession_1	tlen	query_ID	accession_2	qlen	e_value_seq	score_seq	bias_seq	#	of	c_value	i_value	score_dom	bias_dom	hmm_from	hmm_to	ali_from	ali_to	env_from	env_to	acc	description	View_kpsM_ncbi_40_complete$target_ID
GCF_036346995.1_protein.faa_WP_266690786.1	-	260	kpsM_final_mafft	-	260	1.6e-15	55.8	1.9	1	1	3.6e-18	1.8e-15	55.6	1.9	38	243	33	245	12	260	0.83	-	GCF_036346995.1_protein.faa_WP_266690786.1
GCF_036346995.1_protein.faa_WP_124721067.1	-	268	kpsM_final_mafft	-	260	8.3e-15	53.5	6.4	1	1	2.3e-17	1.2e-14	53	6.4	22	250	27	263	18	266	0.8	-	GCF_036346995.1_protein.faa_WP_124721067.1
GCF_014058585.1_protein.faa_WP_005754209.1	-	265	kpsM_final_mafft	-	260	8.1e-45	149.8	20.3	1	1	1.5e-47	1e-44	149.4	20.3	7	255	12	261	6	264	0.96	-	GCF_014058585.1_protein.faa_WP_005754209.1
GCF_014058585.1_protein.faa_WP_005753849.1	-	255	kpsM_final_mafft	-	260	2.8e-19	66	22.3	1	1	5.5e-22	3.7e-19	65.7	22.3	37	248	26	246	8	250	0.79	-	GCF_014058585.1_protein.faa_WP_005753849.1
GCF_016903915.1_protein.faa_WP_000124301.1	-	258	kpsM_final_mafft	-	260	8.1e-107	354.3	18.6	1	1	1.1e-109	8.9e-107	354.1	18.6	8	259	6	258	1	258	0.99	-	GCF_016903915.1_protein.faa_WP_000124301.1
GCF_016903915.1_protein.faa_WP_000972203.1	-	256	kpsM_final_mafft	-	260	1.7e-18	64.8	19.9	1	1	2.8e-21	2.4e-18	64.3	19.9	37	250	27	249	14	253	0.8	-	GCF_016903915.1_protein.faa_WP_000972203.1
GCF_036178885.1_protein.faa_WP_159481140.1	-	311	kpsM_final_mafft	-	260	5.9e-41	139	13.6	1	1	1.4e-43	7.2e-41	138.7	13.6	4	255	47	307	44	310	0.92	-	GCF_036178885.1_protein.faa_WP_159481140.1
GCF_036178885.1_protein.faa_WP_159474783.1	-	309	kpsM_final_mafft	-	260	1.3e-40	137.9	11.9	1	1	3e-43	1.5e-40	137.6	11.9	4	255	45	305	42	308	0.93	-	GCF_036178885.1_protein.faa_WP_159474783.1
GCF_036178885.1_protein.faa_WP_159481775.1	-	278	kpsM_final_mafft	-	260	3.2e-18	64.5	8.8	1	1	1.7e-20	8.5e-18	63.1	8.8	37	246	52	269	33	278	0.78	-	GCF_036178885.1_protein.faa_WP_159481775.1
GCF_036178885.1_protein.faa_WP_328690670.1	-	287	kpsM_final_mafft	-	260	3.2e-16	57.9	10.6	1	1	8.6e-19	4.4e-16	57.5	10.6	39	244	65	275	60	282	0.83	-	GCF_036178885.1_protein.faa_WP_328690670.1
GCF_036178885.1_protein.faa_WP_159481751.1	-	265	kpsM_final_mafft	-	260	1.1e-15	56.2	4.2	1	1	2.5e-18	1.2e-15	56	4.2	38	250	33	256	14	265	0.86	-	GCF_036178885.1_protein.faa_WP_159481751.1
GCF_036178885.1_protein.faa_WP_403330234.1	-	292	kpsM_final_mafft	-	260	1.6e-15	55.6	5.1	1	1	4.6e-18	2.3e-15	55.1	5.1	38	220	51	244	47	283	0.85	-	GCF_036178885.1_protein.faa_WP_403330234.1
GCF_036178885.1_protein.faa_WP_159480563.1	-	276	kpsM_final_mafft	-	260	3.5e-15	54.5	13	1	1	1e-17	5.3e-15	53.9	13	37	252	50	275	27	276	0.8	-	GCF_036178885.1_protein.faa_WP_159480563.1
GCF_002012145.1_protein.faa_WP_000124301.1	-	258	kpsM_final_mafft	-	260	7.6e-107	354.3	18.6	1	1	1.1e-109	8.3e-107	354.1	18.6	8	259	6	258	1	258	0.99	-	GCF_002012145.1_protein.faa_WP_000124301.1
GCF_002012145.1_protein.faa_WP_000972203.1	-	256	kpsM_final_mafft	-	260	1.6e-18	64.8	19.9	1	1	2.8e-21	2.2e-18	64.3	19.9	37	250	27	249	14	253	0.8	-	GCF_002012145.1_protein.faa_WP_000972203.1
GCF_035983595.1_protein.faa_WP_327186194.1	-	309	kpsM_final_mafft	-	260	1.6e-41	141.1	10.9	1	1	4.1e-44	1.9e-41	140.8	10.9	3	255	44	305	42	308	0.92	-	GCF_035983595.1_protein.faa_WP_327186194.1
GCF_035983595.1_protein.faa_WP_020132368.1	-	305	kpsM_final_mafft	-	260	8.2e-40	135.5	11.2	1	1	2.2e-42	1e-39	135.2	11.2	3	255	39	301	37	304	0.91	-	GCF_035983595.1_protein.faa_WP_020132368.1
GCF_035983595.1_protein.faa_WP_327187063.1	-	271	kpsM_final_mafft	-	260	1.2e-17	62.9	5.1	1	1	3.3e-20	1.5e-17	62.5	5.1	23	251	33	268	15	270	0.84	-	GCF_035983595.1_protein.faa_WP_327187063.1
GCF_035983595.1_protein.faa_WP_327184089.1	-	263	kpsM_final_mafft	-	260	1.3e-17	62.7	3	1	1	3.6e-20	1.7e-17	62.3	3	38	244	33	249	22	259	0.85	-	GCF_035983595.1_protein.faa_WP_327184089.1
GCF_035983595.1_protein.faa_WP_327181146.1	-	286	kpsM_final_mafft	-	260	2.6e-15	55.2	6	1	1	7.5e-18	3.5e-15	54.7	6	39	240	64	272	60	282	0.82	-	GCF_035983595.1_protein.faa_WP_327181146.1
GCF_035983595.1_protein.faa_WP_327182686.1	-	272	kpsM_final_mafft	-	260	5.8e-15	54	12.1	1	1	2.2e-17	1e-14	53.2	12.1	37	252	46	269	42	272	0.81	-	GCF_035983595.1_protein.faa_WP_327182686.1
GCF_035983595.1_protein.faa_WP_020128092.1	-	287	kpsM_final_mafft	-	260	1.7e-14	52.5	3	1	1	7e-17	3.3e-14	51.6	3	38	245	48	278	44	286	0.75	-	GCF_035983595.1_protein.faa_WP_020128092.1
GCF_030347115.1_protein.faa_WP_000124301.1	-	258	kpsM_final_mafft	-	260	7.9e-107	354.3	18.6	1	1	1.1e-109	8.7e-107	354.1	18.6	8	259	6	258	1	258	0.99	-	GCF_030347115.1_protein.faa_WP_000124301.1
GCF_030347115.1_protein.faa_WP_000972203.1	-	256	kpsM_final_mafft	-	260	1.7e-18	64.8	19.9	1	1	2.8e-21	2.3e-18	64.3	19.9	37	250	27	249	14	253	0.8	-	GCF_030347115.1_protein.faa_WP_000972203.1
GCF_007974925.1_protein.faa_WP_006251414.1	-	265	kpsM_final_mafft	-	260	1.1e-46	156	17.4	1	1	1.2e-49	1.4e-46	155.7	17.4	8	255	13	261	6	264	0.97	-	GCF_007974925.1_protein.faa_WP_006251414.1
GCF_007974925.1_protein.faa_WP_006249091.1	-	253	kpsM_final_mafft	-	260	1.8e-18	63.6	18.1	1	1	2.1e-21	2.4e-18	63.2	18.1	37	249	24	245	19	249	0.85	-	GCF_007974925.1_protein.faa_WP_006249091.1
GCF_036121075.1_protein.faa_WP_073734428.1	-	309	kpsM_final_mafft	-	260	3.2e-42	143.1	13.5	1	1	1.1e-44	3.8e-42	142.9	13.5	4	255	45	305	42	308	0.93	-	GCF_036121075.1_protein.faa_WP_073734428.1
GCF_036121075.1_protein.faa_WP_328696751.1	-	316	kpsM_final_mafft	-	260	1.4e-40	137.7	6.7	1	1	5.1e-43	1.8e-40	137.4	6.7	6	254	54	311	50	315	0.92	-	GCF_036121075.1_protein.faa_WP_328696751.1
GCF_036121075.1_protein.faa_WP_328697063.1	-	287	kpsM_final_mafft	-	260	9.5e-19	66.2	8.2	1	1	4e-21	1.4e-18	65.6	8.2	37	252	60	286	32	287	0.82	-	GCF_036121075.1_protein.faa_WP_328697063.1
GCF_036121075.1_protein.faa_WP_328695124.1	-	285	kpsM_final_mafft	-	260	3.3e-18	64.5	1.5	1	1	1.3e-20	4.6e-18	64	1.5	13	221	26	238	16	247	0.85	-	GCF_036121075.1_protein.faa_WP_328695124.1
GCF_036121075.1_protein.faa_WP_073737843.1	-	267	kpsM_final_mafft	-	260	1e-17	62.9	7.3	1	1	3.4e-20	1.2e-17	62.6	7.3	37	251	44	265	39	267	0.87	-	GCF_036121075.1_protein.faa_WP_073737843.1
GCF_036121075.1_protein.faa_WP_328696882.1	-	284	kpsM_final_mafft	-	260	2.8e-17	61.4	9.2	1	1	9.9e-20	3.6e-17	61	9.2	39	243	62	273	60	281	0.86	-	GCF_036121075.1_protein.faa_WP_328696882.1
GCF_036121075.1_protein.faa_WP_327337693.1	-	264	kpsM_final_mafft	-	260	6.5e-17	60.2	5.9	1	1	2.3e-19	8.5e-17	59.8	5.9	38	245	33	251	23	261	0.85	-	GCF_036121075.1_protein.faa_WP_327337693.1
GCF_036121075.1_protein.faa_WP_327338734.1	-	288	kpsM_final_mafft	-	260	5.2e-15	54	1.5	1	1	1.6e-17	5.8e-15	53.8	0.8	37	220	47	240	43	258	0.85	-	GCF_036121075.1_protein.faa_WP_327338734.1
GCF_036121075.1_protein.faa_WP_328695072.1	-	262	kpsM_final_mafft	-	260	1.7e-14	52.3	6.9	1	1	6.2e-17	2.3e-14	51.9	6.9	38	242	33	248	24	258	0.86	-	GCF_036121075.1_protein.faa_WP_328695072.1
GCF_022576915.1_protein.faa_WP_000124301.1	-	258	kpsM_final_mafft	-	260	6.9e-107	354.3	18.6	1	1	1.1e-109	7.6e-107	354.1	18.6	8	259	6	258	1	258	0.99	-	GCF_022576915.1_protein.faa_WP_000124301.1
GCF_022576915.1_protein.faa_WP_000972203.1	-	256	kpsM_final_mafft	-	260	1.5e-18	64.8	19.9	1	1	2.8e-21	2e-18	64.3	19.9	37	250	27	249	14	253	0.8	-	GCF_022576915.1_protein.faa_WP_000972203.1
GCF_015689475.1_protein.faa_WP_079153686.1	-	311	kpsM_final_mafft	-	260	1.9e-39	134.3	9	1	1	4.9e-42	2.3e-39	134	9	3	255	44	307	42	310	0.91	-	GCF_015689475.1_protein.faa_WP_079153686.1
GCF_015689475.1_protein.faa_WP_069867780.1	-	262	kpsM_final_mafft	-	260	9.5e-19	66.5	5.1	1	1	2.6e-21	1.2e-18	66.1	5.1	46	222	34	219	29	257	0.83	-	GCF_015689475.1_protein.faa_WP_069867780.1
GCF_015689475.1_protein.faa_WP_069871560.1	-	276	kpsM_final_mafft	-	260	3.5e-18	64.6	5.5	1	1	9.1e-21	4.3e-18	64.3	5.5	34	250	44	272	24	274	0.78	-	GCF_015689475.1_protein.faa_WP_069871560.1
GCF_015689475.1_protein.faa_WP_069869257.1	-	274	kpsM_final_mafft	-	260	2.3e-17	61.9	10	1	1	8.3e-20	3.9e-17	61.2	10	33	251	44	271	23	274	0.74	-	GCF_015689475.1_protein.faa_WP_069869257.1
GCF_015689475.1_protein.faa_WP_069868640.1	-	262	kpsM_final_mafft	-	260	2.6e-17	61.8	7.1	1	1	7.5e-20	3.6e-17	61.3	7.1	43	231	30	227	24	252	0.8	-	GCF_015689475.1_protein.faa_WP_069868640.1
GCF_015689475.1_protein.faa_WP_069868974.1	-	272	kpsM_final_mafft	-	260	1.3e-16	59.4	8.3	1	1	3.8e-19	1.8e-16	59	8.3	38	248	42	262	32	268	0.86	-	GCF_015689475.1_protein.faa_WP_069868974.1
GCF_015689475.1_protein.faa_WP_093702411.1	-	289	kpsM_final_mafft	-	260	6.5e-15	53.9	4.7	1	1	1.9e-17	8.8e-15	53.4	4.7	39	235	67	270	63	284	0.81	-	GCF_015689475.1_protein.faa_WP_093702411.1
GCF_015689475.1_protein.faa_WP_079258773.1	-	287	kpsM_final_mafft	-	260	1.1e-14	53.1	3.2	1	1	3.5e-17	1.7e-14	52.6	3.2	38	221	50	244	46	284	0.81	-	GCF_015689475.1_protein.faa_WP_079258773.1
GCF_036187565.1_protein.faa_WP_328827246.1	-	309	kpsM_final_mafft	-	260	2.3e-41	140.5	16.6	1	1	5e-44	2.7e-41	140.3	16.6	3	255	44	305	42	308	0.92	-	GCF_036187565.1_protein.faa_WP_328827246.1
GCF_036187565.1_protein.faa_WP_328831079.1	-	305	kpsM_final_mafft	-	260	2.2e-39	134.1	11.4	1	1	4.8e-42	2.6e-39	133.8	11.4	3	255	40	301	38	304	0.91	-	GCF_036187565.1_protein.faa_WP_328831079.1
GCF_036187565.1_protein.faa_WP_266778415.1	-	261	kpsM_final_mafft	-	260	9.4e-18	63.1	5	1	1	2.2e-20	1.2e-17	62.8	5	38	246	33	249	23	258	0.85	-	GCF_036187565.1_protein.faa_WP_266778415.1
GCF_036187565.1_protein.faa_WP_266775009.1	-	286	kpsM_final_mafft	-	260	6.9e-16	57	5.9	1	1	1.7e-18	9.2e-16	56.6	5.9	39	242	64	274	60	283	0.84	-	GCF_036187565.1_protein.faa_WP_266775009.1
GCF_036187565.1_protein.faa_WP_328829417.1	-	285	kpsM_final_mafft	-	260	6.3e-15	53.9	2	1	1	2e-17	1.1e-14	53.1	2	38	250	46	273	42	284	0.77	-	GCF_036187565.1_protein.faa_WP_328829417.1
GCF_036187565.1_protein.faa_WP_266768009.1	-	273	kpsM_final_mafft	-	260	9.5e-15	53.3	14.2	1	1	5.7e-17	3.1e-14	51.6	14.2	37	253	47	271	42	273	0.77	-	GCF_036187565.1_protein.faa_WP_266768009.1
GCF_036187565.1_protein.faa_WP_328828722.1	-	244	kpsM_final_mafft	-	260	1.3e-14	52.8	4.6	1	1	4.2e-17	2.3e-14	52	4.6	31	250	17	242	3	244	0.88	-	GCF_036187565.1_protein.faa_WP_328828722.1
GCF_020719565.1_protein.faa_WP_002855356.1	-	260	kpsM_final_mafft	-	260	1.9e-47	158	32.2	1	1	1.4e-50	2.2e-47	157.8	32.2	13	257	3	255	1	257	0.95	-	GCF_020719565.1_protein.faa_WP_002855356.1
GCF_035223645.1_protein.faa_WP_250249147.1	-	265	kpsM_final_mafft	-	260	1.9e-44	148.6	20.3	1	1	3.5e-47	2.3e-44	148.3	20.3	6	255	11	261	6	264	0.96	-	GCF_035223645.1_protein.faa_WP_250249147.1
GCF_035223645.1_protein.faa_WP_249991837.1	-	255	kpsM_final_mafft	-	260	3.9e-19	65.6	22.8	1	1	7.6e-22	5.1e-19	65.2	22.8	37	248	26	246	8	250	0.79	-	GCF_035223645.1_protein.faa_WP_249991837.1
GCF_001721945.1_protein.faa_WP_002871866.1	-	260	kpsM_final_mafft	-	260	8.1e-47	156	31.2	1	1	5.8e-50	9.2e-47	155.8	31.2	13	257	3	255	1	257	0.94	-	GCF_001721945.1_protein.faa_WP_002871866.1
GCF_023587605.1_protein.faa_WP_014391192.1	-	265	kpsM_final_mafft	-	260	3.8e-45	150.9	20.4	1	1	6.8e-48	4.8e-45	150.6	20.4	7	255	12	261	6	264	0.96	-	GCF_023587605.1_protein.faa_WP_014391192.1
GCF_023587605.1_protein.faa_WP_005753849.1	-	255	kpsM_final_mafft	-	260	2.9e-19	66	22.3	1	1	5.5e-22	3.8e-19	65.7	22.3	37	248	26	246	8	250	0.79	-	GCF_023587605.1_protein.faa_WP_005753849.1
GCF_036013955.1_protein.faa_WP_327698913.1	-	309	kpsM_final_mafft	-	260	4.3e-43	146.1	10.2	1	1	9.9e-46	5.1e-43	145.9	10.2	3	255	44	305	42	308	0.93	-	GCF_036013955.1_protein.faa_WP_327698913.1
GCF_036013955.1_protein.faa_WP_443060450.1	-	310	kpsM_final_mafft	-	260	7.2e-40	135.6	12.6	1	1	1.7e-42	8.7e-40	135.3	12.6	3	255	45	306	43	309	0.92	-	GCF_036013955.1_protein.faa_WP_443060450.1
GCF_036013955.1_protein.faa_WP_327696770.1	-	263	kpsM_final_mafft	-	260	1.2e-19	69.3	6.4	1	1	2.9e-22	1.5e-19	69	6.4	37	243	32	250	17	261	0.86	-	GCF_036013955.1_protein.faa_WP_327696770.1
GCF_036013955.1_protein.faa_WP_327697690.1	-	291	kpsM_final_mafft	-	260	1.4e-15	55.9	8.4	1	1	7.2e-18	3.7e-15	54.5	8.4	38	220	55	243	33	290	0.84	-	GCF_036013955.1_protein.faa_WP_327697690.1
GCF_036013955.1_protein.faa_WP_327699577.1	-	283	kpsM_final_mafft	-	260	2.5e-15	55.1	8.7	1	1	6.4e-18	3.3e-15	54.7	8.7	39	244	61	273	57	280	0.86	-	GCF_036013955.1_protein.faa_WP_327699577.1
GCF_036013955.1_protein.faa_WP_327694432.1	-	289	kpsM_final_mafft	-	260	1.5e-14	52.6	11.6	1	1	5.1e-17	2.6e-14	51.8	11.6	37	251	63	287	59	289	0.82	-	GCF_036013955.1_protein.faa_WP_327694432.1
GCF_014843095.1_protein.faa_WP_012027237.1	-	268	kpsM_final_mafft	-	260	1.4e-44	148.9	20.7	1	1	9.2e-48	1.7e-44	148.6	20.7	10	258	7	266	2	268	0.91	-	GCF_014843095.1_protein.faa_WP_012027237.1
GCF_023587585.1_protein.faa_WP_010906850.1	-	265	kpsM_final_mafft	-	260	1.8e-44	148.6	21	1	1	3.4e-47	2.3e-44	148.3	21	7	255	12	261	6	264	0.96	-	GCF_023587585.1_protein.faa_WP_010906850.1
GCF_023587585.1_protein.faa_WP_005753849.1	-	255	kpsM_final_mafft	-	260	2.9e-19	66	22.3	1	1	5.5e-22	3.8e-19	65.7	22.3	37	248	26	246	8	250	0.79	-	GCF_023587585.1_protein.faa_WP_005753849.1
GCF_000816465.3_protein.faa_WP_039655447.1	-	309	kpsM_final_mafft	-	260	4.1e-42	142.5	14.2	1	1	1.1e-44	4.9e-42	142.3	14.2	3	255	44	305	42	308	0.93	-	GCF_000816465.3_protein.faa_WP_039655447.1
GCF_000816465.3_protein.faa_WP_039647917.1	-	308	kpsM_final_mafft	-	260	7.2e-39	131.9	13.3	1	1	1.9e-41	8.6e-39	131.6	13.3	3	255	43	304	41	307	0.91	-	GCF_000816465.3_protein.faa_WP_039647917.1
GCF_000816465.3_protein.faa_WP_039653013.1	-	266	kpsM_final_mafft	-	260	9.2e-16	56.2	2.1	1	1	3.9e-18	1.8e-15	55.2	2.1	38	220	29	220	24	264	0.85	-	GCF_000816465.3_protein.faa_WP_039653013.1
GCF_000816465.3_protein.faa_WP_089516719.1	-	287	kpsM_final_mafft	-	260	8.4e-15	53	12.4	1	1	1.9e-17	8.4e-15	53	12.4	16	226	27	240	15	264	0.81	-	GCF_000816465.3_protein.faa_WP_089516719.1
GCF_000816465.3_protein.faa_WP_039657531.1	-	278	kpsM_final_mafft	-	260	3.4e-14	51	13.2	1	2	0.0028	1.3	6.5	0.7	141	164	52	75	34	100	0.54	-	GCF_000816465.3_protein.faa_WP_039657531.1
GCF_000816465.3_protein.faa_WP_052319081.1	-	275	kpsM_final_mafft	-	260	4.4e-14	50.7	6.6	1	1	1.2e-16	5.3e-14	50.4	6.6	37	252	52	273	48	275	0.86	-	GCF_000816465.3_protein.faa_WP_052319081.1
GCF_021496785.1_protein.faa_WP_205368903.1	-	309	kpsM_final_mafft	-	260	5e-41	139.3	14.6	1	1	8.5e-44	6e-41	139	14.6	2	255	43	305	42	308	0.93	-	GCF_021496785.1_protein.faa_WP_205368903.1
GCF_021496785.1_protein.faa_WP_102924205.1	-	313	kpsM_final_mafft	-	260	1e-39	134.9	13.2	1	1	1.8e-42	1.3e-39	134.6	13.2	3	255	48	309	46	312	0.92	-	GCF_021496785.1_protein.faa_WP_102924205.1
GCF_021496785.1_protein.faa_WP_235092638.1	-	265	kpsM_final_mafft	-	260	1.3e-17	62.5	1.4	1	1	2.1e-20	1.5e-17	62.3	1.4	39	247	34	255	14	265	0.87	-	GCF_021496785.1_protein.faa_WP_235092638.1
GCF_021496785.1_protein.faa_WP_205364511.1	-	276	kpsM_final_mafft	-	260	5.5e-16	57.2	10.3	1	1	1.1e-18	7.5e-16	56.7	10.3	37	249	50	272	29	276	0.77	-	GCF_021496785.1_protein.faa_WP_205364511.1
GCF_021496785.1_protein.faa_WP_205367075.1	-	287	kpsM_final_mafft	-	260	1.1e-15	56.2	7.2	1	1	2e-18	1.5e-15	55.8	7.2	39	242	65	275	60	284	0.84	-	GCF_021496785.1_protein.faa_WP_205367075.1
GCF_021496785.1_protein.faa_WP_205366440.1	-	292	kpsM_final_mafft	-	260	1.5e-14	52.5	4.4	1	1	3e-17	2.2e-14	52	4.4	38	221	51	245	47	284	0.84	-	GCF_021496785.1_protein.faa_WP_205366440.1
GCF_036226385.1_protein.faa_WP_328676207.1	-	309	kpsM_final_mafft	-	260	6e-41	139.3	17	1	1	1.4e-43	7.1e-41	139.1	17	3	255	44	305	42	308	0.93	-	GCF_036226385.1_protein.faa_WP_328676207.1
GCF_036226385.1_protein.faa_WP_328682917.1	-	305	kpsM_final_mafft	-	260	3.7e-40	136.7	11.2	1	1	9.1e-43	4.5e-40	136.5	11.2	3	255	40	301	38	304	0.92	-	GCF_036226385.1_protein.faa_WP_328682917.1
GCF_036226385.1_protein.faa_WP_318020960.1	-	261	kpsM_final_mafft	-	260	7.5e-18	63.6	6.7	1	1	1.9e-20	9.5e-18	63.3	6.7	38	246	33	249	22	258	0.87	-	GCF_036226385.1_protein.faa_WP_318020960.1
GCF_036226385.1_protein.faa_WP_329347451.1	-	296	kpsM_final_mafft	-	260	1.2e-16	59.7	1.1	1	1	3.2e-19	1.6e-16	59.3	1.1	13	221	37	249	27	264	0.84	-	GCF_036226385.1_protein.faa_WP_329347451.1
GCF_036226385.1_protein.faa_WP_328685527.1	-	286	kpsM_final_mafft	-	260	7.8e-16	57	5.9	1	1	2.1e-18	1e-15	56.6	5.9	39	242	64	274	60	283	0.84	-	GCF_036226385.1_protein.faa_WP_328685527.1
GCF_036226385.1_protein.faa_WP_329351082.1	-	274	kpsM_final_mafft	-	260	2.7e-14	52	12	1	1	2e-16	9.9e-14	50.1	12	37	252	48	271	44	274	0.8	-	GCF_036226385.1_protein.faa_WP_329351082.1
GCF_036226385.1_protein.faa_WP_328678942.1	-	244	kpsM_final_mafft	-	260	6.9e-14	50.6	3.2	1	1	2.3e-16	1.1e-13	49.9	3.2	28	250	14	242	3	244	0.86	-	GCF_036226385.1_protein.faa_WP_328678942.1
GCF_036226385.1_protein.faa_WP_329350002.1	-	253	kpsM_final_mafft	-	260	7.6e-14	50.5	13.2	1	1	2.1e-16	1e-13	50.1	13.2	38	251	31	250	22	252	0.83	-	GCF_036226385.1_protein.faa_WP_329350002.1
GCF_018831605.1_protein.faa_WP_215823049.1	-	276	kpsM_final_mafft	-	260	8.7e-53	176.6	13	1	1	8.9e-56	1e-52	176.4	13	7	256	21	273	16	276	0.96	-	GCF_018831605.1_protein.faa_WP_215823049.1
GCF_018831605.1_protein.faa_WP_043333883.1	-	257	kpsM_final_mafft	-	260	2.6e-22	76.8	18.3	1	1	3e-25	3.4e-22	76.4	18.3	37	247	28	245	10	256	0.83	-	GCF_018831605.1_protein.faa_WP_043333883.1
