target_ID	accession_1	tlen	query_ID	accession_2	qlen	e_value_seq	score_seq	bias_seq	#	of	c_value	i_value	score_dom	bias_dom	hmm_from	hmm_to	ali_from	ali_to	env_from	env_to	acc	description	View_kpsD_ncbi_40_complete$target_ID
GCF_015774875.1_protein.faa_WP_196913888.1	-	552	kpsD_final_mafft	-	594	4e-177	586.6	15.6	1	1	3.1e-180	4.4e-177	586.5	15.6	49	578	1	551	1	552	0.87	-	GCF_015774875.1_protein.faa_WP_196913888.1
GCF_023716525.1_protein.faa_WP_053349726.1	-	897	kpsD_final_mafft	-	594	6e-149	495.2	13	1	2	2.6e-102	2.4e-99	331.5	8.3	57	442	12	490	1	559	0.75	-	GCF_023716525.1_protein.faa_WP_053349726.1
GCF_023716525.1_protein.faa_WP_053350557.1	-	700	kpsD_final_mafft	-	594	1.7e-94	315.4	10.4	1	6	2.1e-34	2e-31	107.2	3.4	127	286	23	182	18	197	0.92	-	GCF_023716525.1_protein.faa_WP_053350557.1
GCF_023716525.1_protein.faa_WP_053350000.1	-	373	kpsD_final_mafft	-	594	2.4e-40	136.6	0.5	1	1	3.9e-43	3.6e-40	136	0.5	126	365	76	341	59	351	0.87	-	GCF_023716525.1_protein.faa_WP_053350000.1
GCF_023716525.1_protein.faa_WP_005385846.1	-	170	kpsD_final_mafft	-	594	7.3e-19	65.7	0.5	1	1	2.9e-21	2.7e-18	63.8	0.5	129	253	18	143	6	168	0.88	-	GCF_023716525.1_protein.faa_WP_005385846.1
GCF_032598635.1_protein.faa_WP_010906973.1	-	387	kpsD_final_mafft	-	594	1.1e-37	126.8	0.4	1	1	1.6e-40	1.8e-37	126.1	0.4	126	337	78	305	57	336	0.88	-	GCF_032598635.1_protein.faa_WP_010906973.1
GCF_029224005.1_protein.faa_WP_010906973.1	-	387	kpsD_final_mafft	-	594	1.1e-37	126.8	0.4	1	1	1.6e-40	1.8e-37	126.1	0.4	126	337	78	305	57	336	0.88	-	GCF_029224005.1_protein.faa_WP_010906973.1
GCF_000973565.1_protein.faa_WP_046333851.1	-	387	kpsD_final_mafft	-	594	9.1e-38	126.9	0.4	1	1	1.5e-40	1.5e-37	126.2	0.4	126	337	78	305	47	336	0.89	-	GCF_000973565.1_protein.faa_WP_046333851.1
GCF_002180095.1_protein.faa_WP_001295357.1	-	379	kpsD_final_mafft	-	594	3.5e-39	132.9	1.4	1	1	3.5e-42	4.4e-39	132.5	1.4	114	365	68	346	1	356	0.8	-	GCF_002180095.1_protein.faa_WP_001295357.1
GCF_002180095.1_protein.faa_WP_000978094.1	-	379	kpsD_final_mafft	-	594	5e-34	115.9	2.8	1	1	1e-36	1.3e-33	114.5	2.8	122	363	72	346	1	354	0.85	-	GCF_002180095.1_protein.faa_WP_000978094.1
GCF_024347395.1_protein.faa_WP_261888754.1	-	869	kpsD_final_mafft	-	594	5.2e-145	482	8	1	2	1.4e-93	1.8e-90	301.9	7	55	426	9	431	1	529	0.73	-	GCF_024347395.1_protein.faa_WP_261888754.1
GCF_024347395.1_protein.faa_WP_017051589.1	-	702	kpsD_final_mafft	-	594	7.8e-98	326.2	4.6	1	6	2.2e-35	2.9e-32	109.7	0	114	286	14	183	12	197	0.88	-	GCF_024347395.1_protein.faa_WP_017051589.1
GCF_024347395.1_protein.faa_WP_017053511.1	-	172	kpsD_final_mafft	-	594	1.3e-25	87.8	3.2	1	2	2.8e-19	3.7e-16	56.5	0.6	128	220	18	111	12	112	0.95	-	GCF_024347395.1_protein.faa_WP_017053511.1
GCF_035223645.1_protein.faa_WP_046333851.1	-	387	kpsD_final_mafft	-	594	9.3e-38	126.9	0.4	1	1	1.5e-40	1.5e-37	126.2	0.4	126	337	78	305	47	336	0.89	-	GCF_035223645.1_protein.faa_WP_046333851.1
GCF_031583005.1_protein.faa_WP_241951700.1	-	387	kpsD_final_mafft	-	594	3.1e-37	125.2	1.2	1	1	6.5e-40	6.9e-37	124.1	1.1	126	335	78	303	65	323	0.89	-	GCF_031583005.1_protein.faa_WP_241951700.1
GCF_031583005.1_protein.faa_WP_241952209.1	-	393	kpsD_final_mafft	-	594	2.9e-15	52.7	3.7	1	1	7.5e-17	8e-14	47.9	3.7	111	283	57	249	1	303	0.74	-	GCF_031583005.1_protein.faa_WP_241952209.1
GCF_017352015.1_protein.faa_WP_002851485.1	-	552	kpsD_final_mafft	-	594	5.8e-179	592.9	15.7	1	1	3.8e-182	6.5e-179	592.8	15.7	49	579	1	552	1	552	0.89	-	GCF_017352015.1_protein.faa_WP_002851485.1
GCF_031587935.1_protein.faa_WP_005757109.1	-	387	kpsD_final_mafft	-	594	1e-37	126.7	0.6	1	1	1.6e-40	1.6e-37	126.1	0.6	126	337	78	305	47	338	0.88	-	GCF_031587935.1_protein.faa_WP_005757109.1
GCF_031587935.1_protein.faa_WP_030017789.1	-	393	kpsD_final_mafft	-	594	2.8e-15	52.7	3.7	1	2	9.4e-17	9.6e-14	47.6	3.5	111	283	57	249	1	252	0.72	-	GCF_031587935.1_protein.faa_WP_030017789.1
GCF_012220945.1_protein.faa_WP_002841557.1	-	543	kpsD_final_mafft	-	594	6e-177	586.2	13.5	1	1	4.2e-180	6.8e-177	586	13.5	49	579	1	543	1	543	0.9	-	GCF_012220945.1_protein.faa_WP_002841557.1
GCF_018885225.1_protein.faa_WP_002889970.1	-	552	kpsD_final_mafft	-	594	7.2e-180	595.9	15.3	1	1	4.9e-183	8e-180	595.7	15.3	49	579	1	552	1	552	0.89	-	GCF_018885225.1_protein.faa_WP_002889970.1
GCF_035666075.1_protein.faa_WP_010906973.1	-	387	kpsD_final_mafft	-	594	9.3e-38	126.8	0.4	1	1	1.6e-40	1.5e-37	126.1	0.4	126	337	78	305	57	336	0.88	-	GCF_035666075.1_protein.faa_WP_010906973.1
GCF_020423085.1_protein.faa_WP_103970729.1	-	378	kpsD_final_mafft	-	594	7.1e-37	125	0.5	1	1	4.1e-40	8.9e-37	124.7	0.5	129	363	82	344	5	354	0.86	-	GCF_020423085.1_protein.faa_WP_103970729.1
GCF_020423085.1_protein.faa_WP_225586018.1	-	185	kpsD_final_mafft	-	594	8.9e-24	81.8	0.1	1	1	5.8e-27	1.3e-23	81.3	0.1	130	269	35	176	23	181	0.9	-	GCF_020423085.1_protein.faa_WP_225586018.1
GCF_009763565.1_protein.faa_WP_031781435.1	-	583	kpsD_final_mafft	-	594	1.2e-184	613.2	2.6	1	1	1.1e-187	1.3e-184	613.1	2.6	58	578	14	583	1	583	0.86	-	GCF_009763565.1_protein.faa_WP_031781435.1
GCF_009763565.1_protein.faa_WP_049877691.1	-	688	kpsD_final_mafft	-	594	1.5e-94	315.6	11	1	5	4.9e-35	5.7e-32	109	3.3	129	287	13	171	8	189	0.92	-	GCF_009763565.1_protein.faa_WP_049877691.1
GCF_009763565.1_protein.faa_WP_021450526.1	-	372	kpsD_final_mafft	-	594	4.8e-42	142.2	0.5	1	1	5.3e-45	6.2e-42	141.9	0.5	125	364	74	339	10	350	0.87	-	GCF_009763565.1_protein.faa_WP_021450526.1
GCF_009763565.1_protein.faa_WP_021450107.1	-	177	kpsD_final_mafft	-	594	1e-19	68.5	0.5	1	1	2.6e-22	3e-19	67	0.5	115	253	15	150	11	173	0.87	-	GCF_009763565.1_protein.faa_WP_021450107.1
GCF_001280345.1_protein.faa_WP_001331697.1	-	558	kpsD_final_mafft	-	594	3.9e-186	618.2	1.3	1	1	2.6e-189	4.3e-186	618	1.3	58	578	8	557	1	558	0.87	-	GCF_001280345.1_protein.faa_WP_001331697.1
GCF_001280345.1_protein.faa_WP_000978094.1	-	379	kpsD_final_mafft	-	594	4.9e-34	115.9	2.8	1	1	7.8e-37	1.3e-33	114.5	2.8	122	363	72	346	1	354	0.85	-	GCF_001280345.1_protein.faa_WP_000978094.1
GCF_016904475.1_protein.faa_WP_001331697.1	-	558	kpsD_final_mafft	-	594	3.6e-186	618.2	1.3	1	1	2.6e-189	4e-186	618	1.3	58	578	8	557	1	558	0.87	-	GCF_016904475.1_protein.faa_WP_001331697.1
GCF_016904475.1_protein.faa_WP_000978094.1	-	379	kpsD_final_mafft	-	594	4.6e-34	115.9	2.8	1	1	7.8e-37	1.2e-33	114.5	2.8	122	363	72	346	1	354	0.85	-	GCF_016904475.1_protein.faa_WP_000978094.1
GCF_016845695.1_protein.faa_WP_021112145.1	-	384	kpsD_final_mafft	-	594	1.1e-35	120.1	3.1	1	1	1.8e-38	1.9e-35	119.3	3.1	129	342	79	309	66	331	0.89	-	GCF_016845695.1_protein.faa_WP_021112145.1
GCF_034423875.1_protein.faa_WP_001606112.1	-	558	kpsD_final_mafft	-	594	3.4e-186	618.2	1.4	1	1	3.3e-189	3.8e-186	618.1	1.4	58	578	8	557	1	558	0.87	-	GCF_034423875.1_protein.faa_WP_001606112.1
GCF_034423875.1_protein.faa_WP_000978094.1	-	379	kpsD_final_mafft	-	594	4.5e-34	115.9	2.8	1	1	1e-36	1.2e-33	114.5	2.8	122	363	72	346	1	354	0.85	-	GCF_034423875.1_protein.faa_WP_000978094.1
GCF_009883835.1_protein.faa_WP_025569996.1	-	890	kpsD_final_mafft	-	594	2.5e-149	496.6	11.8	1	2	4.6e-103	5.6e-100	333.6	7.5	55	443	10	495	1	552	0.75	-	GCF_009883835.1_protein.faa_WP_025569996.1
GCF_009883835.1_protein.faa_WP_229614932.1	-	688	kpsD_final_mafft	-	594	5.1e-95	317.2	11.1	1	5	1.5e-35	1.9e-32	110.6	3.4	129	287	13	171	8	189	0.92	-	GCF_009883835.1_protein.faa_WP_229614932.1
GCF_009883835.1_protein.faa_WP_025541783.1	-	373	kpsD_final_mafft	-	594	9.7e-40	134.7	0.4	1	1	1.2e-42	1.4e-39	134.1	0.4	127	365	77	341	61	351	0.87	-	GCF_009883835.1_protein.faa_WP_025541783.1
GCF_009883835.1_protein.faa_WP_005463089.1	-	177	kpsD_final_mafft	-	594	7e-20	69.1	0.8	1	1	2.1e-22	2.6e-19	67.2	0.7	115	258	15	157	11	171	0.88	-	GCF_009883835.1_protein.faa_WP_005463089.1
GCF_011390865.1_protein.faa_WP_005723127.1	-	387	kpsD_final_mafft	-	594	8e-38	127.1	0.4	1	1	1.3e-40	1.3e-37	126.4	0.4	126	337	78	305	57	338	0.88	-	GCF_011390865.1_protein.faa_WP_005723127.1
GCF_019048545.1_protein.faa_WP_206227398.1	-	381	kpsD_final_mafft	-	594	1.3e-34	117.4	1.2	1	1	1.3e-37	5.1e-34	115.5	1.2	126	338	73	301	25	330	0.86	-	GCF_019048545.1_protein.faa_WP_206227398.1
GCF_016889105.1_protein.faa_WP_001331697.1	-	558	kpsD_final_mafft	-	594	3.5e-186	618.2	1.3	1	1	3.4e-189	3.8e-186	618	1.3	58	578	8	557	1	558	0.87	-	GCF_016889105.1_protein.faa_WP_001331697.1
GCF_016889105.1_protein.faa_WP_000978094.1	-	379	kpsD_final_mafft	-	594	4.4e-34	115.9	2.8	1	1	1e-36	1.2e-33	114.5	2.8	122	363	72	346	1	354	0.85	-	GCF_016889105.1_protein.faa_WP_000978094.1
GCF_019915505.1_protein.faa_WP_001298258.1	-	558	kpsD_final_mafft	-	594	3.7e-186	618.2	1.3	1	1	2.6e-189	4.1e-186	618	1.3	58	578	8	557	1	558	0.87	-	GCF_019915505.1_protein.faa_WP_001298258.1
GCF_019915505.1_protein.faa_WP_000978098.1	-	379	kpsD_final_mafft	-	594	5.2e-34	115.7	2.9	1	1	8.5e-37	1.4e-33	114.3	2.9	122	363	72	346	1	353	0.84	-	GCF_019915505.1_protein.faa_WP_000978098.1
GCF_024917375.1_protein.faa_WP_001301060.1	-	558	kpsD_final_mafft	-	594	1.1e-185	616.6	1.4	1	1	7.6e-189	1.2e-185	616.5	1.4	58	578	8	557	1	558	0.87	-	GCF_024917375.1_protein.faa_WP_001301060.1
GCF_024917375.1_protein.faa_WP_000978094.1	-	379	kpsD_final_mafft	-	594	4.8e-34	115.9	2.8	1	1	7.8e-37	1.3e-33	114.5	2.8	122	363	72	346	1	354	0.85	-	GCF_024917375.1_protein.faa_WP_000978094.1
GCF_022760215.1_protein.faa_WP_001331697.1	-	558	kpsD_final_mafft	-	594	3.8e-186	618.2	1.3	1	1	2.6e-189	4.2e-186	618	1.3	58	578	8	557	1	558	0.87	-	GCF_022760215.1_protein.faa_WP_001331697.1
GCF_022760215.1_protein.faa_WP_000978094.1	-	379	kpsD_final_mafft	-	594	4.8e-34	115.9	2.8	1	1	7.8e-37	1.3e-33	114.5	2.8	122	363	72	346	1	354	0.85	-	GCF_022760215.1_protein.faa_WP_000978094.1
GCF_000493595.2_protein.faa_WP_001331697.1	-	558	kpsD_final_mafft	-	594	3.7e-186	618.2	1.3	1	1	2.6e-189	4.1e-186	618	1.3	58	578	8	557	1	558	0.87	-	GCF_000493595.2_protein.faa_WP_001331697.1
GCF_000493595.2_protein.faa_WP_000978094.1	-	379	kpsD_final_mafft	-	594	4.7e-34	115.9	2.8	1	1	7.8e-37	1.2e-33	114.5	2.8	122	363	72	346	1	354	0.85	-	GCF_000493595.2_protein.faa_WP_000978094.1
GCF_029773975.1_protein.faa_WP_279454964.1	-	385	kpsD_final_mafft	-	594	2e-37	125.8	2	1	1	3e-40	3.1e-37	125.2	2	122	337	72	304	9	324	0.87	-	GCF_029773975.1_protein.faa_WP_279454964.1
GCF_017356805.1_protein.faa_WP_052802778.1	-	552	kpsD_final_mafft	-	594	5e-179	593.1	15.3	1	1	3.5e-182	5.7e-179	592.9	15.3	49	579	1	552	1	552	0.89	-	GCF_017356805.1_protein.faa_WP_052802778.1
GCF_034071365.1_protein.faa_WP_033850874.1	-	366	kpsD_final_mafft	-	594	1.4e-26	90.9	2.2	1	1	6.8e-30	2.5e-26	90	2.2	127	366	75	342	6	350	0.86	-	GCF_034071365.1_protein.faa_WP_033850874.1
GCF_030296835.1_protein.faa_WP_286246034.1	-	892	kpsD_final_mafft	-	594	2.5e-155	516	10.5	1	2	8.9e-106	1.2e-102	342.2	3.5	55	437	8	452	1	538	0.7	-	GCF_030296835.1_protein.faa_WP_286246034.1
GCF_030296835.1_protein.faa_WP_286246042.1	-	370	kpsD_final_mafft	-	594	1.7000000000000001e-35	120.3	2.3	1	1	1.8e-38	2.3e-35	119.9	2.3	129	367	80	347	7	353	0.86	-	GCF_030296835.1_protein.faa_WP_286246042.1
GCF_030296835.1_protein.faa_WP_055019400.1	-	172	kpsD_final_mafft	-	594	1.7e-29	100.5	3.5	1	1	5.6e-32	7.2e-29	98.4	3.5	129	286	21	169	10	170	0.91	-	GCF_030296835.1_protein.faa_WP_055019400.1
GCF_023716645.1_protein.faa_WP_252035821.1	-	877	kpsD_final_mafft	-	594	2.1e-144	480.1	2.3	1	2	2.4e-94	2e-91	305.2	1.1	64	439	6	464	1	542	0.73	-	GCF_023716645.1_protein.faa_WP_252035821.1
GCF_023716645.1_protein.faa_WP_252034572.1	-	701	kpsD_final_mafft	-	594	6.6e-104	346.4	0.4	1	6	2.6e-35	2.2e-32	110.2	0.1	132	286	28	182	18	198	0.89	-	GCF_023716645.1_protein.faa_WP_252034572.1
GCF_023716645.1_protein.faa_WP_239835405.1	-	172	kpsD_final_mafft	-	594	6.3e-24	82.3	0	1	2	6.6e-18	5.6e-15	52.7	0.2	127	220	17	111	4	111	0.94	-	GCF_023716645.1_protein.faa_WP_239835405.1
GCF_002859285.1_protein.faa_WP_014325759.1	-	387	kpsD_final_mafft	-	594	7.8e-38	127.2	0.3	1	1	1.2e-40	1.3e-37	126.5	0.3	126	337	78	305	55	338	0.88	-	GCF_002859285.1_protein.faa_WP_014325759.1
GCF_000743945.1_protein.faa_WP_038498670.1	-	385	kpsD_final_mafft	-	594	1.9e-18	62.8	1.5	1	1	4.4e-20	3.6e-17	58.6	1.5	49	325	1	289	1	303	0.72	-	GCF_000743945.1_protein.faa_WP_038498670.1
GCF_019443685.1_protein.faa_WP_001298258.1	-	558	kpsD_final_mafft	-	594	3.6e-186	618.2	1.3	1	1	3.4e-189	4e-186	618	1.3	58	578	8	557	1	558	0.87	-	GCF_019443685.1_protein.faa_WP_001298258.1
GCF_019443685.1_protein.faa_WP_000978098.1	-	379	kpsD_final_mafft	-	594	5e-34	115.7	2.9	1	1	1.1e-36	1.3e-33	114.3	2.9	122	363	72	346	1	353	0.84	-	GCF_019443685.1_protein.faa_WP_000978098.1
GCF_000512395.1_protein.faa_WP_014325759.1	-	387	kpsD_final_mafft	-	594	7.7e-38	127.2	0.3	1	1	1.2e-40	1.2e-37	126.5	0.3	126	337	78	305	55	338	0.88	-	GCF_000512395.1_protein.faa_WP_014325759.1
GCF_900638205.1_protein.faa_WP_052802778.1	-	552	kpsD_final_mafft	-	594	5.1e-179	593.1	15.3	1	1	3.5e-182	5.7e-179	592.9	15.3	49	579	1	552	1	552	0.89	-	GCF_900638205.1_protein.faa_WP_052802778.1
GCF_905330545.2_protein.faa_WP_001385481.1	-	558	kpsD_final_mafft	-	594	5.9e-186	617.4	1.1	1	1	4.3e-189	6.5e-186	617.3	1.1	58	578	8	557	1	558	0.87	-	GCF_905330545.2_protein.faa_WP_001385481.1
GCF_905330545.2_protein.faa_WP_021555536.1	-	379	kpsD_final_mafft	-	594	5.9e-34	115.5	3.5	1	1	1.1e-36	1.7e-33	114	3.5	121	363	71	346	1	353	0.83	-	GCF_905330545.2_protein.faa_WP_021555536.1
GCF_029774115.1_protein.faa_WP_279481118.1	-	385	kpsD_final_mafft	-	594	2.1e-37	125.8	3.1	1	1	2.9e-40	3e-37	125.2	3.1	122	341	72	307	12	330	0.86	-	GCF_029774115.1_protein.faa_WP_279481118.1
GCF_023587085.1_protein.faa_WP_250262887.1	-	387	kpsD_final_mafft	-	594	2.4e-37	125.5	1.3	1	1	5e-40	4.9e-37	124.4	1.2	127	335	79	303	67	333	0.88	-	GCF_023587085.1_protein.faa_WP_250262887.1
GCF_023587665.1_protein.faa_WP_010906973.1	-	387	kpsD_final_mafft	-	594	9.5e-38	126.8	0.4	1	1	1.6e-40	1.6e-37	126.1	0.4	126	337	78	305	57	336	0.88	-	GCF_023587665.1_protein.faa_WP_010906973.1
GCF_902705295.2_protein.faa_WP_001331697.1	-	558	kpsD_final_mafft	-	594	3.6e-186	618.2	1.3	1	1	2.6e-189	4e-186	618	1.3	58	578	8	557	1	558	0.87	-	GCF_902705295.2_protein.faa_WP_001331697.1
GCF_902705295.2_protein.faa_WP_000978094.1	-	379	kpsD_final_mafft	-	594	4.7e-34	115.9	2.8	1	1	7.8e-37	1.2e-33	114.5	2.8	122	363	72	346	1	354	0.85	-	GCF_902705295.2_protein.faa_WP_000978094.1
GCF_030994145.1_protein.faa_WP_023583797.1	-	901	kpsD_final_mafft	-	594	9.4e-150	497.8	11.6	1	2	5.9e-102	8.7e-99	329.5	7.5	55	443	10	498	1	563	0.75	-	GCF_030994145.1_protein.faa_WP_023583797.1
GCF_030994145.1_protein.faa_WP_023584498.1	-	372	kpsD_final_mafft	-	594	4.3e-42	142.3	0.5	1	1	3.7e-45	5.5e-42	142	0.5	124	364	72	339	5	350	0.86	-	GCF_030994145.1_protein.faa_WP_023584498.1
GCF_030994145.1_protein.faa_WP_005463089.1	-	177	kpsD_final_mafft	-	594	6.4e-20	69.1	0.8	1	1	1.6e-22	2.3e-19	67.2	0.7	115	258	15	157	11	171	0.88	-	GCF_030994145.1_protein.faa_WP_005463089.1
GCF_025200945.1_protein.faa_WP_002901014.1	-	552	kpsD_final_mafft	-	594	1.3e-179	595	15.3	1	1	8.7e-183	1.5e-179	594.9	15.3	49	579	1	552	1	552	0.89	-	GCF_025200945.1_protein.faa_WP_002901014.1
GCF_026315065.1_protein.faa_WP_010906973.1	-	387	kpsD_final_mafft	-	594	1e-37	126.8	0.4	1	1	1.6e-40	1.7e-37	126.1	0.4	126	337	78	305	57	336	0.88	-	GCF_026315065.1_protein.faa_WP_010906973.1
GCF_031787095.1_protein.faa_WP_001298258.1	-	558	kpsD_final_mafft	-	594	4e-186	618.2	1.3	1	1	2.6e-189	4.4e-186	618	1.3	58	578	8	557	1	558	0.87	-	GCF_031787095.1_protein.faa_WP_001298258.1
GCF_031787095.1_protein.faa_WP_000978080.1	-	379	kpsD_final_mafft	-	594	5.9e-34	115.7	2.8	1	1	9.1e-37	1.6e-33	114.3	2.8	122	363	72	346	2	354	0.87	-	GCF_031787095.1_protein.faa_WP_000978080.1
GCF_020143085.2_protein.faa_WP_002803309.1	-	543	kpsD_final_mafft	-	594	4.4e-177	586.8	13.8	1	1	2.8e-180	4.9e-177	586.6	13.8	49	579	1	543	1	543	0.9	-	GCF_020143085.2_protein.faa_WP_002803309.1
GCF_020720295.1_protein.faa_WP_002855298.1	-	552	kpsD_final_mafft	-	594	1.7e-180	597.9	15.8	1	1	1.2e-183	1.9e-180	597.8	15.8	49	579	1	552	1	552	0.89	-	GCF_020720295.1_protein.faa_WP_002855298.1
GCF_030515495.1_protein.faa_WP_001331697.1	-	558	kpsD_final_mafft	-	594	3.8e-186	618.2	1.3	1	1	2.6e-189	4.2e-186	618	1.3	58	578	8	557	1	558	0.87	-	GCF_030515495.1_protein.faa_WP_001331697.1
GCF_030515495.1_protein.faa_WP_000978094.1	-	379	kpsD_final_mafft	-	594	4.8e-34	115.9	2.8	1	1	7.8e-37	1.3e-33	114.5	2.8	122	363	72	346	1	354	0.85	-	GCF_030515495.1_protein.faa_WP_000978094.1
GCF_020042585.1_protein.faa_WP_002779229.1	-	543	kpsD_final_mafft	-	594	4.2e-176	583.5	13.6	1	1	2.8e-179	4.7e-176	583.3	13.6	49	579	1	543	1	543	0.9	-	GCF_020042585.1_protein.faa_WP_002779229.1
