target_ID	accession_1	tlen	query_ID	accession_2	qlen	e_value_seq	score_seq	bias_seq	#	of	c_value	i_value	score_dom	bias_dom	hmm_from	hmm_to	ali_from	ali_to	env_from	env_to	acc	description	View_neuO_ncbi_40_complete$target_ID
GCF_001457555.1_protein.faa_WP_005898109.1	-	178	neuO_final_mafft	-	319	2.3e-14	50.3	3.1	1	1	7e-17	3.2e-14	49.8	3.1	116	226	74	178	67	178	0.91	-	GCF_001457555.1_protein.faa_WP_005898109.1
GCF_036010345.1_protein.faa_WP_306103691.1	-	193	neuO_final_mafft	-	319	7.8e-31	106	0.1	1	1	1.5e-33	1.1e-30	105.6	0.1	106	224	75	191	65	192	0.94	-	GCF_036010345.1_protein.faa_WP_306103691.1
GCF_036010345.1_protein.faa_WP_147962513.1	-	249	neuO_final_mafft	-	319	2.9e-20	71.3	0.4	1	2	0.19	140	0	0	173	189	68	84	57	87	0.63	-	GCF_036010345.1_protein.faa_WP_147962513.1
GCF_036010345.1_protein.faa_WP_327328871.1	-	576	neuO_final_mafft	-	319	1.8e-19	68.6	0.4	1	1	4.1e-22	2.9e-19	68	0.4	169	224	139	194	54	200	0.81	-	GCF_036010345.1_protein.faa_WP_327328871.1
GCF_036010345.1_protein.faa_WP_327328922.1	-	217	neuO_final_mafft	-	319	1.2e-15	56.1	0.4	1	2	2.9	2100	-3.9	0	135	148	62	75	55	83	0.64	-	GCF_036010345.1_protein.faa_WP_327328922.1
GCF_019754275.1_protein.faa_WP_005754552.1	-	203	neuO_final_mafft	-	319	5.1e-34	114.8	0.1	1	1	1.9e-36	6.1e-34	114.5	0.1	99	224	60	183	43	198	0.9	-	GCF_019754275.1_protein.faa_WP_005754552.1
GCF_019754275.1_protein.faa_WP_016532973.1	-	207	neuO_final_mafft	-	319	3.1e-25	85.9	3.6	1	2	0.0038	1.2	5.1	0	134	156	60	83	42	91	0.77	-	GCF_019754275.1_protein.faa_WP_016532973.1
GCF_002866225.1_protein.faa_WP_024933466.1	-	204	neuO_final_mafft	-	319	6.8e-32	108.6	1.6	1	1	1.4e-34	8.8e-32	108.2	1.6	102	226	61	183	45	202	0.89	-	GCF_002866225.1_protein.faa_WP_024933466.1
GCF_002866225.1_protein.faa_WP_012048152.1	-	236	neuO_final_mafft	-	319	7e-22	75.7	0.5	1	4	0.027	17	2.1	2.9	46	126	33	116	9	119	0.56	-	GCF_002866225.1_protein.faa_WP_012048152.1
GCF_032229305.1_protein.faa_WP_313940830.1	-	190	neuO_final_mafft	-	319	1.4e-28	98.7	0	1	1	1.7e-31	1.8e-28	98.3	0	99	225	60	183	54	185	0.9	-	GCF_032229305.1_protein.faa_WP_313940830.1
GCF_032229305.1_protein.faa_WP_313936206.1	-	246	neuO_final_mafft	-	319	1e-19	69.6	0.2	1	1	1.8e-22	2e-19	68.6	0.2	115	225	98	208	72	213	0.93	-	GCF_032229305.1_protein.faa_WP_313936206.1
GCF_032229305.1_protein.faa_WP_313937284.1	-	219	neuO_final_mafft	-	319	8.1e-17	60	0.7	1	2	2	2200	-3.8	0	134	149	64	79	55	83	0.74	-	GCF_032229305.1_protein.faa_WP_313937284.1
GCF_032229305.1_protein.faa_WP_313936138.1	-	179	neuO_final_mafft	-	319	7.7e-14	50.3	0.7	1	1	4.1e-16	4.5e-13	47.7	0.2	114	212	70	163	68	167	0.87	-	GCF_032229305.1_protein.faa_WP_313936138.1
GCF_000014885.1_protein.faa_WP_044556337.1	-	184	neuO_final_mafft	-	319	7.9e-28	95.4	0.9	1	1	2.4e-30	9.5e-28	95.2	0.9	103	225	60	180	26	183	0.92	-	GCF_000014885.1_protein.faa_WP_044556337.1
GCF_000014885.1_protein.faa_WP_020913521.1	-	207	neuO_final_mafft	-	319	1.1e-25	88.4	10	1	1	1.7e-25	6.8e-23	79.2	9.8	93	223	73	200	43	206	0.88	-	GCF_000014885.1_protein.faa_WP_020913521.1
GCF_000014885.1_protein.faa_WP_020913359.1	-	213	neuO_final_mafft	-	319	3.4e-18	63.8	1.5	1	2	0.02	7.9	3.4	0	134	157	60	84	48	91	0.76	-	GCF_000014885.1_protein.faa_WP_020913359.1
GCF_000014885.1_protein.faa_WP_020914007.1	-	209	neuO_final_mafft	-	319	7.2e-17	59.4	0.6	1	2	0.83	330	-1.9	0	174	186	58	70	49	79	0.53	-	GCF_000014885.1_protein.faa_WP_020914007.1
GCF_001921905.1_protein.faa_WP_024933466.1	-	204	neuO_final_mafft	-	319	6.4e-32	108.6	1.6	1	1	1.4e-34	8.3e-32	108.2	1.6	102	226	61	183	45	202	0.89	-	GCF_001921905.1_protein.faa_WP_024933466.1
GCF_001921905.1_protein.faa_WP_012048152.1	-	236	neuO_final_mafft	-	319	6.6e-22	75.7	0.5	1	4	0.027	16	2.1	2.9	46	126	33	116	9	119	0.56	-	GCF_001921905.1_protein.faa_WP_012048152.1
GCF_013046785.1_protein.faa_WP_171150222.1	-	200	neuO_final_mafft	-	319	3.1e-28	97.4	0.1	1	1	3e-31	4e-28	97	0.1	108	224	72	186	60	194	0.92	-	GCF_013046785.1_protein.faa_WP_171150222.1
GCF_013046785.1_protein.faa_WP_171158425.1	-	254	neuO_final_mafft	-	319	1.9e-25	88.2	0	1	2	0.063	85	0.6	0	136	152	65	81	45	82	0.8	-	GCF_013046785.1_protein.faa_WP_171158425.1
GCF_003330845.1_protein.faa_WP_114255777.1	-	193	neuO_final_mafft	-	319	3.4e-30	103.9	0	1	1	3.9e-33	4.2000000000000004e-30	103.7	0	106	225	75	192	66	193	0.93	-	GCF_003330845.1_protein.faa_WP_114255777.1
GCF_003330845.1_protein.faa_WP_114250767.1	-	265	neuO_final_mafft	-	319	1.7e-24	85.2	0.3	1	1	4.8e-27	5.1e-24	83.6	0.2	113	225	93	205	69	211	0.91	-	GCF_003330845.1_protein.faa_WP_114250767.1
GCF_003330845.1_protein.faa_WP_114255593.1	-	584	neuO_final_mafft	-	319	5.5e-19	67.1	3.6	1	1	6.9e-22	7.3e-19	66.7	2.3	170	225	133	188	123	192	0.94	-	GCF_003330845.1_protein.faa_WP_114255593.1
GCF_014489615.1_protein.faa_WP_187743505.1	-	192	neuO_final_mafft	-	319	4.3e-31	106.7	0	1	1	5.6e-34	5.3e-31	106.4	0	107	225	75	191	67	192	0.94	-	GCF_014489615.1_protein.faa_WP_187743505.1
GCF_014489615.1_protein.faa_WP_187741644.1	-	195	neuO_final_mafft	-	319	4.6e-24	83.6	0	1	1	6.3e-27	6e-24	83.3	0	103	225	63	183	56	184	0.91	-	GCF_014489615.1_protein.faa_WP_187741644.1
GCF_014489615.1_protein.faa_WP_187739369.1	-	245	neuO_final_mafft	-	319	1.8e-20	71.8	0	1	2	0.12	110	0.2	0	133	152	65	84	48	87	0.75	-	GCF_014489615.1_protein.faa_WP_187739369.1
GCF_014489615.1_protein.faa_WP_187743202.1	-	217	neuO_final_mafft	-	319	2.4e-15	55	0.5	1	1	4.3e-18	4.1e-15	54.2	0.5	172	225	116	169	112	174	0.95	-	GCF_014489615.1_protein.faa_WP_187743202.1
GCF_024759405.1_protein.faa_WP_010538720.1	-	196	neuO_final_mafft	-	319	7.7e-30	102.3	1.1	1	1	2.6e-32	9.9e-30	102	1.1	105	225	67	185	54	194	0.89	-	GCF_024759405.1_protein.faa_WP_010538720.1
GCF_024759405.1_protein.faa_WP_010536502.1	-	183	neuO_final_mafft	-	319	4.9e-27	93.1	0.3	1	1	1.6e-29	6e-27	92.8	0.3	106	226	64	182	55	183	0.93	-	GCF_024759405.1_protein.faa_WP_010536502.1
GCF_024759405.1_protein.faa_WP_010538443.1	-	207	neuO_final_mafft	-	319	2e-21	74.7	1.3	1	1	7.7e-24	3e-21	74.1	1.3	113	225	85	195	69	205	0.86	-	GCF_024759405.1_protein.faa_WP_010538443.1
GCF_024759405.1_protein.faa_WP_010535398.1	-	207	neuO_final_mafft	-	319	6.3e-20	69.7	1.1	1	2	0.67	260	-1.3	0.1	131	145	55	69	18	84	0.56	-	GCF_024759405.1_protein.faa_WP_010535398.1
GCF_024759405.1_protein.faa_WP_109115614.1	-	224	neuO_final_mafft	-	319	9.4e-19	65.9	3.1	1	2	0.047	18	2.5	0.2	111	151	43	79	23	90	0.73	-	GCF_024759405.1_protein.faa_WP_109115614.1
GCF_024759405.1_protein.faa_WP_081030932.1	-	191	neuO_final_mafft	-	319	2.9e-18	64.3	0.3	1	1	1.1e-20	4.2e-18	63.8	0.3	106	224	57	170	35	181	0.84	-	GCF_024759405.1_protein.faa_WP_081030932.1
GCF_024759405.1_protein.faa_WP_224207159.1	-	62	neuO_final_mafft	-	319	6.4e-17	59.8	2.6	1	1	2.1e-19	8e-17	59.5	2.6	172	225	6	59	4	61	0.96	-	GCF_024759405.1_protein.faa_WP_224207159.1
GCF_024759405.1_protein.faa_WP_055271086.1	-	203	neuO_final_mafft	-	319	4.9e-15	53.7	4.7	1	1	1.9e-17	7.3e-15	53.1	4.6	167	226	130	189	95	193	0.93	-	GCF_024759405.1_protein.faa_WP_055271086.1
GCF_004792595.1_protein.faa_WP_005754552.1	-	203	neuO_final_mafft	-	319	4.8e-34	114.8	0.1	1	1	1.9e-36	5.8e-34	114.5	0.1	99	224	60	183	43	198	0.9	-	GCF_004792595.1_protein.faa_WP_005754552.1
GCF_004792595.1_protein.faa_WP_005723578.1	-	207	neuO_final_mafft	-	319	8.8e-25	84.3	2.9	1	2	0.0038	1.1	5.1	0	134	156	60	83	42	91	0.77	-	GCF_004792595.1_protein.faa_WP_005723578.1
GCF_024701375.2_protein.faa_WP_257853970.1	-	193	neuO_final_mafft	-	319	2e-32	111	0.1	1	1	2.3e-35	2.3e-32	110.8	0.1	99	224	69	191	46	193	0.92	-	GCF_024701375.2_protein.faa_WP_257853970.1
GCF_024701375.2_protein.faa_WP_257851295.1	-	254	neuO_final_mafft	-	319	9.4e-25	85.7	0.2	1	1	1.9e-27	1.9e-24	84.8	0.3	114	229	94	206	69	213	0.92	-	GCF_024701375.2_protein.faa_WP_257851295.1
GCF_024701375.2_protein.faa_WP_269441244.1	-	205	neuO_final_mafft	-	319	8.2e-21	72.8	0	1	1	1.1e-23	1.1e-20	72.4	0	103	223	63	181	55	185	0.92	-	GCF_024701375.2_protein.faa_WP_269441244.1
GCF_036013705.1_protein.faa_WP_327661550.1	-	193	neuO_final_mafft	-	319	1.8e-29	101.9	0	1	1	2.1e-32	2.1e-29	101.6	0	106	224	75	191	65	193	0.93	-	GCF_036013705.1_protein.faa_WP_327661550.1
GCF_036013705.1_protein.faa_WP_327669405.1	-	244	neuO_final_mafft	-	319	1.4e-21	75.9	0.1	1	1	2.5e-24	2.5e-21	75.1	0.1	111	232	87	205	61	210	0.89	-	GCF_036013705.1_protein.faa_WP_327669405.1
GCF_036013705.1_protein.faa_WP_327674169.1	-	182	neuO_final_mafft	-	319	1.5e-17	62.7	0	1	1	1.9e-20	2e-17	62.3	0	108	218	65	172	56	175	0.87	-	GCF_036013705.1_protein.faa_WP_327674169.1
GCF_036013705.1_protein.faa_WP_327675337.1	-	201	neuO_final_mafft	-	319	1.9e-15	55.8	0.6	1	2	1.8	1900	-3.3	0	134	149	48	63	39	71	0.65	-	GCF_036013705.1_protein.faa_WP_327675337.1
GCF_028898665.1_protein.faa_WP_005452817.1	-	185	neuO_final_mafft	-	319	3.1e-31	106.8	0.5	1	1	1.3e-33	4.4e-31	106.3	0.5	106	225	64	182	54	183	0.89	-	GCF_028898665.1_protein.faa_WP_005452817.1
GCF_028898665.1_protein.faa_WP_274789998.1	-	204	neuO_final_mafft	-	319	5.5e-31	106	0.8	1	1	2e-33	6.9e-31	105.7	0.8	91	225	51	182	40	201	0.9	-	GCF_028898665.1_protein.faa_WP_274789998.1
GCF_028898665.1_protein.faa_WP_017817349.1	-	184	neuO_final_mafft	-	319	1.1e-29	101.7	0.2	1	1	4e-32	1.4e-29	101.4	0.2	102	225	58	179	26	181	0.91	-	GCF_028898665.1_protein.faa_WP_017817349.1
GCF_028898665.1_protein.faa_WP_274881839.1	-	181	neuO_final_mafft	-	319	3.2e-28	96.9	1.9	1	1	1.1e-30	3.9e-28	96.7	1.9	98	226	52	181	40	181	0.92	-	GCF_028898665.1_protein.faa_WP_274881839.1
GCF_028898665.1_protein.faa_WP_172581227.1	-	210	neuO_final_mafft	-	319	4.6e-20	70.1	1.2	1	2	0.039	13	2.9	0	172	190	62	80	55	82	0.86	-	GCF_028898665.1_protein.faa_WP_172581227.1
GCF_028898665.1_protein.faa_WP_274882110.1	-	217	neuO_final_mafft	-	319	9.5e-15	52.7	6.3	1	1	1.1e-16	3.8e-14	50.7	6.3	167	218	113	164	45	169	0.83	-	GCF_028898665.1_protein.faa_WP_274882110.1
GCF_001431765.1_protein.faa_WP_010639430.1	-	186	neuO_final_mafft	-	319	1.3e-28	98.5	0	1	1	2.2e-31	1.7e-28	98.1	0	105	225	58	176	47	178	0.93	-	GCF_001431765.1_protein.faa_WP_010639430.1
GCF_001431765.1_protein.faa_WP_008412820.1	-	250	neuO_final_mafft	-	319	5.1e-26	89.9	0.4	1	1	1.1e-28	8.5e-26	89.2	0.4	113	229	98	211	77	216	0.93	-	GCF_001431765.1_protein.faa_WP_008412820.1
GCF_001431765.1_protein.faa_WP_075987537.1	-	215	neuO_final_mafft	-	319	7.2e-20	69.7	0.3	1	2	0.19	140	-0.2	0	134	150	63	79	52	88	0.81	-	GCF_001431765.1_protein.faa_WP_075987537.1
GCF_001431765.1_protein.faa_WP_075986163.1	-	182	neuO_final_mafft	-	319	2.3e-17	61.5	0	1	1	3.7e-20	2.8e-17	61.2	0	107	222	64	176	57	181	0.89	-	GCF_001431765.1_protein.faa_WP_075986163.1
GCF_001660585.1_protein.faa_WP_001350210.1	-	203	neuO_final_mafft	-	319	1.3e-34	117.8	0.6	1	1	4.8e-37	1.6e-34	117.5	0.6	98	237	60	194	50	202	0.88	-	GCF_001660585.1_protein.faa_WP_001350210.1
GCF_001660585.1_protein.faa_WP_000102539.1	-	183	neuO_final_mafft	-	319	1e-31	108.2	0.5	1	1	4e-34	1.3e-31	107.9	0.5	104	225	63	182	55	183	0.93	-	GCF_001660585.1_protein.faa_WP_000102539.1
GCF_001660585.1_protein.faa_WP_001153555.1	-	182	neuO_final_mafft	-	319	2.3e-20	71	0.3	1	1	1.1e-22	3.5e-20	70.4	0.3	95	227	53	179	46	181	0.91	-	GCF_001660585.1_protein.faa_WP_001153555.1
GCF_024759485.1_protein.faa_WP_005854862.1	-	196	neuO_final_mafft	-	319	2.2e-31	107.1	0	1	1	1e-33	2.5e-31	106.9	0	88	233	55	192	23	195	0.87	-	GCF_024759485.1_protein.faa_WP_005854862.1
GCF_024759485.1_protein.faa_WP_005855142.1	-	199	neuO_final_mafft	-	319	1.3e-29	101.3	15.7	1	1	6.6e-32	1.6e-29	101	15.7	62	225	40	196	25	198	0.86	-	GCF_024759485.1_protein.faa_WP_005855142.1
GCF_024759485.1_protein.faa_WP_008777845.1	-	197	neuO_final_mafft	-	319	6.6e-27	92.4	8.9	1	1	4.6e-29	1.1e-26	91.6	8.9	96	225	57	192	51	194	0.84	-	GCF_024759485.1_protein.faa_WP_008777845.1
GCF_024759485.1_protein.faa_WP_005856224.1	-	187	neuO_final_mafft	-	319	7.9e-27	92.1	1	1	1	4.6e-29	1.1e-26	91.6	1	108	224	72	184	66	186	0.92	-	GCF_024759485.1_protein.faa_WP_005856224.1
GCF_024759485.1_protein.faa_WP_005854288.1	-	200	neuO_final_mafft	-	319	2.3e-24	84	9.5	1	1	2.7e-26	6.5e-24	82.5	9.6	96	225	57	194	51	196	0.86	-	GCF_024759485.1_protein.faa_WP_005854288.1
GCF_024759485.1_protein.faa_WP_005855146.1	-	239	neuO_final_mafft	-	319	6e-23	79.4	0.3	1	1	4.3e-25	1e-22	78.6	0.3	90	312	12	230	4	236	0.77	-	GCF_024759485.1_protein.faa_WP_005855146.1
GCF_024759485.1_protein.faa_WP_008779285.1	-	155	neuO_final_mafft	-	319	5.6e-19	66.3	4.3	1	1	4.9e-21	1.2e-18	65.3	4.3	113	233	26	138	10	155	0.84	-	GCF_024759485.1_protein.faa_WP_008779285.1
GCF_024759485.1_protein.faa_WP_008780521.1	-	208	neuO_final_mafft	-	319	1.3e-14	52	13	1	1	5.6e-16	1.3e-13	48.6	13	93	226	67	198	52	206	0.78	-	GCF_024759485.1_protein.faa_WP_008780521.1
GCF_024759485.1_protein.faa_WP_008779268.1	-	605	neuO_final_mafft	-	319	4.7e-14	50.1	2	1	1	3.2e-16	7.7e-14	49.4	2	102	230	480	604	451	605	0.84	-	GCF_024759485.1_protein.faa_WP_008779268.1
GCF_036238395.1_protein.faa_WP_010639430.1	-	186	neuO_final_mafft	-	319	1.2e-28	98.5	0	1	1	1.9e-31	1.6e-28	98.1	0	105	225	58	176	47	178	0.93	-	GCF_036238395.1_protein.faa_WP_010639430.1
GCF_036238395.1_protein.faa_WP_008412820.1	-	250	neuO_final_mafft	-	319	4.9e-26	89.9	0.4	1	1	9.8e-29	8.3e-26	89.2	0.4	113	229	98	211	77	216	0.93	-	GCF_036238395.1_protein.faa_WP_008412820.1
GCF_036238395.1_protein.faa_WP_203627316.1	-	200	neuO_final_mafft	-	319	4.4e-20	70.4	0.2	1	2	0.11	95	0.3	0	132	150	46	64	35	73	0.79	-	GCF_036238395.1_protein.faa_WP_203627316.1
GCF_026409365.1_protein.faa_WP_010906993.1	-	203	neuO_final_mafft	-	319	6.3e-34	114.5	0.1	1	1	2.4e-36	7.6e-34	114.2	0.1	99	224	60	183	43	198	0.89	-	GCF_026409365.1_protein.faa_WP_010906993.1
GCF_026409365.1_protein.faa_WP_010907064.1	-	207	neuO_final_mafft	-	319	4.2e-25	85.5	3.6	1	2	0.0038	1.2	5.1	0	134	156	60	83	42	91	0.77	-	GCF_026409365.1_protein.faa_WP_010907064.1
GCF_009730515.1_protein.faa_WP_000200262.1	-	185	neuO_final_mafft	-	319	4.3e-24	81.8	0.4	1	1	1.3e-26	5.4e-24	81.4	0.4	103	225	61	181	44	184	0.89	-	GCF_009730515.1_protein.faa_WP_000200262.1
GCF_009730515.1_protein.faa_WP_000127463.1	-	232	neuO_final_mafft	-	319	8.4e-20	67.7	21.6	1	2	0.0069	2.9	3.5	8.4	173	205	94	126	80	159	0.84	-	GCF_009730515.1_protein.faa_WP_000127463.1
GCF_022026295.1_protein.faa_WP_010639430.1	-	186	neuO_final_mafft	-	319	1.3e-28	98.5	0	1	1	2.2e-31	1.7e-28	98.1	0	105	225	58	176	47	178	0.93	-	GCF_022026295.1_protein.faa_WP_010639430.1
GCF_022026295.1_protein.faa_WP_237896328.1	-	250	neuO_final_mafft	-	319	6.2e-26	89.7	0.5	1	1	1.3e-28	9.8e-26	89	0.4	113	225	98	210	77	216	0.93	-	GCF_022026295.1_protein.faa_WP_237896328.1
GCF_022026295.1_protein.faa_WP_275657476.1	-	200	neuO_final_mafft	-	319	4.6e-20	70.4	0.2	1	2	0.13	98	0.3	0	132	150	46	64	35	73	0.79	-	GCF_022026295.1_protein.faa_WP_275657476.1
GCF_022026295.1_protein.faa_WP_003951251.1	-	182	neuO_final_mafft	-	319	1.3e-17	62.3	0	1	1	2.2e-20	1.7e-17	61.9	0	108	222	65	176	58	181	0.89	-	GCF_022026295.1_protein.faa_WP_003951251.1
GCF_036250635.1_protein.faa_WP_129264930.1	-	193	neuO_final_mafft	-	319	5.9e-31	106.3	0.1	1	1	8.2e-34	7.1e-31	106.1	0.1	106	225	75	192	65	193	0.94	-	GCF_036250635.1_protein.faa_WP_129264930.1
GCF_036250635.1_protein.faa_WP_147985697.1	-	250	neuO_final_mafft	-	319	1e-21	76	0.2	1	1	3.3e-24	2.8e-21	74.5	0.2	106	225	89	208	64	214	0.9	-	GCF_036250635.1_protein.faa_WP_147985697.1
GCF_036250635.1_protein.faa_WP_124276482.1	-	215	neuO_final_mafft	-	319	2e-16	58.6	0.3	1	1	3.7e-19	3.2e-16	57.9	0.3	172	225	116	169	112	177	0.95	-	GCF_036250635.1_protein.faa_WP_124276482.1
GCF_036250635.1_protein.faa_WP_124278633.1	-	180	neuO_final_mafft	-	319	2.2e-14	51.9	0	1	1	3.3e-17	2.8e-14	51.5	0	107	217	64	171	56	178	0.86	-	GCF_036250635.1_protein.faa_WP_124278633.1
GCF_014775675.1_protein.faa_WP_044179876.1	-	184	neuO_final_mafft	-	319	1.1e-26	91.4	0.1	1	1	3.6e-29	1.4e-26	91	0.1	100	225	58	180	50	182	0.91	-	GCF_014775675.1_protein.faa_WP_044179876.1
GCF_014775675.1_protein.faa_WP_044178026.1	-	227	neuO_final_mafft	-	319	2.8e-22	76.9	2.3	1	1	9e-25	3.6e-22	76.5	2.3	93	225	92	225	85	227	0.88	-	GCF_014775675.1_protein.faa_WP_044178026.1
GCF_014775675.1_protein.faa_WP_044173675.1	-	218	neuO_final_mafft	-	319	4e-18	63.2	0.4	1	2	0.9	360	-2.3	0	135	148	69	82	61	94	0.65	-	GCF_014775675.1_protein.faa_WP_044173675.1
GCF_035917435.1_protein.faa_WP_326685634.1	-	188	neuO_final_mafft	-	319	1.1e-28	98.9	0	1	1	1.6e-31	1.4e-28	98.5	0	103	225	56	176	48	183	0.93	-	GCF_035917435.1_protein.faa_WP_326685634.1
GCF_035917435.1_protein.faa_WP_326683444.1	-	249	neuO_final_mafft	-	319	2.2e-20	71.6	0.1	1	1	5.2e-23	4.5e-20	70.6	0.1	114	225	97	208	71	214	0.91	-	GCF_035917435.1_protein.faa_WP_326683444.1
GCF_035917435.1_protein.faa_WP_326683873.1	-	218	neuO_final_mafft	-	319	2.5e-16	58.3	0.6	1	1	4.8e-19	4.2e-16	57.5	0.6	171	225	119	173	114	179	0.95	-	GCF_035917435.1_protein.faa_WP_326683873.1
GCF_035917435.1_protein.faa_WP_015608370.1	-	180	neuO_final_mafft	-	319	2.7e-14	51.6	0	1	1	3.8e-17	3.3e-14	51.3	0	109	217	66	171	57	179	0.89	-	GCF_035917435.1_protein.faa_WP_015608370.1
GCF_016598575.1_protein.faa_WP_200264283.1	-	251	neuO_final_mafft	-	319	1.3e-24	84.8	0.3	1	1	3.7e-27	2.7e-24	83.8	0.2	114	225	92	203	70	208	0.92	-	GCF_016598575.1_protein.faa_WP_200264283.1
GCF_016598575.1_protein.faa_WP_200262547.1	-	216	neuO_final_mafft	-	319	8.1e-18	62.5	0.2	1	1	1.7e-20	1.2e-17	61.9	0.2	172	225	115	168	111	193	0.94	-	GCF_016598575.1_protein.faa_WP_200262547.1
GCF_016598575.1_protein.faa_WP_200262119.1	-	407	neuO_final_mafft	-	319	8.6e-15	52.6	2.7	1	2	0.022	16	2.4	0.2	181	206	37	63	24	71	0.58	-	GCF_016598575.1_protein.faa_WP_200262119.1
GCF_019598965.1_protein.faa_WP_220565782.1	-	180	neuO_final_mafft	-	319	1.6e-25	88.4	0.1	1	1	1.9e-28	2.1e-25	88	0.1	108	225	60	175	50	176	0.93	-	GCF_019598965.1_protein.faa_WP_220565782.1
GCF_019598965.1_protein.faa_WP_220563256.1	-	246	neuO_final_mafft	-	319	3.3e-17	61.1	0.8	1	1	4.1e-20	4.5e-17	60.6	0.8	111	225	84	199	73	201	0.94	-	GCF_019598965.1_protein.faa_WP_220563256.1
GCF_016756395.1_protein.faa_WP_430393087.1	-	253	neuO_final_mafft	-	319	1.3e-20	72.4	0.5	1	1	9.3e-24	1.7e-20	72.1	0.5	107	230	95	215	73	221	0.91	-	GCF_016756395.1_protein.faa_WP_430393087.1
GCF_036227405.1_protein.faa_WP_329238889.1	-	193	neuO_final_mafft	-	319	1.6e-30	105.1	0.1	1	1	2.8e-33	2.1000000000000002e-30	104.6	0.1	106	224	75	191	65	192	0.94	-	GCF_036227405.1_protein.faa_WP_329238889.1
GCF_036227405.1_protein.faa_WP_329235764.1	-	229	neuO_final_mafft	-	319	2.7e-29	101	0.1	1	1	4.6e-32	3.5e-29	100.6	0.1	106	225	70	187	59	204	0.91	-	GCF_036227405.1_protein.faa_WP_329235764.1
GCF_036227405.1_protein.faa_WP_329238445.1	-	250	neuO_final_mafft	-	319	6.2e-20	70.3	0.2	1	2	0.31	240	-0.6	0	173	189	68	84	64	88	0.6	-	GCF_036227405.1_protein.faa_WP_329238445.1
GCF_036084755.1_protein.faa_WP_041986412.1	-	185	neuO_final_mafft	-	319	7.2e-27	93	0	1	1	9.1e-30	9.6e-27	92.6	0	103	225	62	182	55	183	0.89	-	GCF_036084755.1_protein.faa_WP_041986412.1
GCF_036084755.1_protein.faa_WP_443042842.1	-	254	neuO_final_mafft	-	319	1.3e-19	69.1	0.6	1	2	0.15	160	-0.2	0	173	190	76	93	71	99	0.62	-	GCF_036084755.1_protein.faa_WP_443042842.1
GCF_036084755.1_protein.faa_WP_328582413.1	-	214	neuO_final_mafft	-	319	2.3e-17	61.8	0.6	1	2	1.7	1700	-3.5	0	134	149	60	75	51	82	0.69	-	GCF_036084755.1_protein.faa_WP_328582413.1
