GCF_000255615.2_protein.faa_WP_003515651.1	-	206	CST-I	PF06002.18	295	0.00012	19.0	2.9	1	1	5.8e-08	0.00017	18.6	2.9	161	282	22	143	18	152	0.70	regulatory	protein	RecX	[Acetivibrio	thermocellus]
GCF_000259255.1_protein.faa_WP_014661582.1	-	311	CST-I	PF06002.18	295	1.4e-45	152.7	13.4	1	1	2.8e-48	2.4e-45	151.9	13.4	3	227	7	221	5	287	0.79	alpha-2,3-sialyltransferase	[Helicobacter	cetorum]
GCF_000259255.1_protein.faa_WP_014661583.1	-	314	CST-I	PF06002.18	295	1e-43	146.5	13.0	1	1	2.4e-46	2.1e-43	145.5	13.0	3	276	18	281	16	292	0.82	alpha-2,3-sialyltransferase	[Helicobacter	cetorum]
GCF_000259275.1_protein.faa_WP_014658894.1	-	356	CST-I	PF06002.18	295	1.6e-43	145.8	11.0	1	1	2.2e-46	3.5e-43	144.7	11.1	3	226	10	223	8	236	0.86	alpha-2,3-sialyltransferase	[Helicobacter	cetorum]
GCF_000277365.1_protein.faa_WP_001035976.1	-	351	CST-I	PF06002.18	295	4.9e-45	150.7	8.9	1	1	3.2e-47	2.4e-44	148.4	8.9	3	227	6	220	4	230	0.86	alpha-2,3-sialyltransferase	[Helicobacter	pylori]
GCF_000277365.1_protein.faa_WP_000743104.1	-	348	CST-I	PF06002.18	295	3.4e-37	124.9	9.7	1	1	1.6e-39	1.2e-36	123.2	8.1	3	250	5	243	3	273	0.77	alpha-2,3-sialyltransferase	[Helicobacter	pylori]
GCF_000277385.1_protein.faa_WP_001035975.1	-	339	CST-I	PF06002.18	295	1.3e-44	149.3	9.4	1	1	8.8e-47	6.3e-44	147.0	9.4	3	227	6	220	4	230	0.86	alpha-2,3-sialyltransferase	[Helicobacter	pylori]
GCF_000277385.1_protein.faa_WP_000743106.1	-	318	CST-I	PF06002.18	295	1.3e-37	126.3	8.5	1	1	1.4e-39	9.9e-37	123.4	8.5	3	250	5	243	3	291	0.77	alpha-2,3-sialyltransferase	[Helicobacter	pylori]
GCF_000283615.1_protein.faa_WP_002335627.1	-	80	CST-I	PF06002.18	295	0.0058	13.2	0.1	1	1	2.6e-06	0.0062	13.2	0.1	226	283	20	75	4	79	0.80	MULTISPECIES:	helix-turn-helix	domain-containing	protein	[Bacilli]
GCF_000302555.5_protein.faa_WP_002858290.1	-	294	CST-I	PF06002.18	295	1.1e-167	553.4	28.7	1	1	7.7e-171	1.2e-167	553.3	28.7	1	295	5	288	5	288	1.00	MULTISPECIES:	alpha-2,3-sialyltransferase	[Campylobacter]
GCF_000304375.1_protein.faa_WP_002858290.1	-	294	CST-I	PF06002.18	295	1.1e-167	553.4	28.7	1	1	7.7e-171	1.2e-167	553.3	28.7	1	295	5	288	5	288	1.00	MULTISPECIES:	alpha-2,3-sialyltransferase	[Campylobacter]
GCF_000317875.1_protein.faa_WP_015086965.1	-	321	CST-I	PF06002.18	295	3.6e-46	154.3	8.0	1	1	2.1e-48	1.4e-45	152.3	8.0	3	227	6	220	4	228	0.85	alpha-2,3-sialyltransferase	[Helicobacter	pylori]
GCF_000317875.1_protein.faa_WP_015086964.1	-	348	CST-I	PF06002.18	295	4.3e-37	124.5	10.3	1	1	2.4e-39	1.6e-36	122.6	8.9	3	250	5	243	3	273	0.79	alpha-2,3-sialyltransferase	[Helicobacter	pylori]
GCF_000344575.1_protein.faa_WP_003131983.1	-	66	CST-I	PF06002.18	295	0.0055	13.2	0.3	1	1	2.4e-06	0.0055	13.2	0.3	150	183	5	38	1	52	0.86	MULTISPECIES:	hypothetical	protein	[Lactococcus]
GCF_000347635.1_protein.faa_WP_226991126.1	-	173	CST-I	PF06002.18	295	0.0058	14.2	0.1	1	1	1.7e-06	0.0076	13.8	0.1	74	149	97	171	71	173	0.83	TlpA	disulfide	reductase	family	protein	[Paraglaciecola	psychrophila]
GCF_000349975.1_protein.faa_WP_015453527.1	-	295	CST-I	PF06002.18	295	0.00095	15.8	0.6	1	1	1.9e-06	0.0045	13.6	0.6	2	174	43	228	42	288	0.63	6-hydroxymethylpterin	diphosphokinase	MptE-like	protein	[Helicobacter	cinaedi]
GCF_000376545.2_protein.faa_WP_005608684.1	-	127	CST-I	PF06002.18	295	0.038	11.5	0.0	1	1	1.1e-05	0.049	11.1	0.0	36	105	17	86	13	94	0.73	MULTISPECIES:	response	regulator	[Tritonibacter]
GCF_000430385.1_protein.faa_WP_020836824.1	-	291	CST-I	PF06002.18	295	3.3e-109	361.5	25.8	1	1	2.3e-112	3.7e-109	361.3	25.8	2	295	3	291	2	291	0.98	alpha-2,3-sialyltransferase	[Campylobacter	jejuni]
GCF_000465255.1_protein.faa_WP_419185088.1	-	303	CST-I	PF06002.18	295	2.7e-107	355.2	15.3	1	1	1.9e-110	3.1e-107	355.0	15.3	1	295	9	297	9	297	0.96	alpha-2,3-sialyltransferase	[Haemophilus	influenzae]
GCF_000466065.2_protein.faa_WP_002858290.1	-	294	CST-I	PF06002.18	295	1.2e-167	553.4	28.7	1	1	7.7e-171	1.3e-167	553.3	28.7	1	295	5	288	5	288	1.00	MULTISPECIES:	alpha-2,3-sialyltransferase	[Campylobacter]
GCF_000466075.2_protein.faa_WP_002858290.1	-	294	CST-I	PF06002.18	295	1.2e-167	553.4	28.7	1	1	7.7e-171	1.4e-167	553.3	28.7	1	295	5	288	5	288	1.00	MULTISPECIES:	alpha-2,3-sialyltransferase	[Campylobacter]
GCF_000466105.2_protein.faa_WP_002858290.1	-	294	CST-I	PF06002.18	295	1.1e-167	553.4	28.7	1	1	7.7e-171	1.3e-167	553.3	28.7	1	295	5	288	5	288	1.00	MULTISPECIES:	alpha-2,3-sialyltransferase	[Campylobacter]
GCF_000466925.3_protein.faa_WP_021358032.1	-	294	CST-I	PF06002.18	295	1.2e-167	553.5	28.7	1	1	7.4e-171	1.3e-167	553.3	28.7	1	295	5	288	5	288	1.00	alpha-2,3-sialyltransferase	[Campylobacter	jejuni]
GCF_000468915.2_protein.faa_WP_002858290.1	-	294	CST-I	PF06002.18	295	1.2e-167	553.4	28.7	1	1	7.7e-171	1.3e-167	553.3	28.7	1	295	5	288	5	288	1.00	MULTISPECIES:	alpha-2,3-sialyltransferase	[Campylobacter]
GCF_000478255.1_protein.faa_WP_003131983.1	-	66	CST-I	PF06002.18	295	0.0059	13.2	0.3	1	1	2.4e-06	0.0059	13.2	0.3	150	183	5	38	1	52	0.86	MULTISPECIES:	hypothetical	protein	[Lactococcus]
GCF_000512395.1_protein.faa_WP_015702737.1	-	303	CST-I	PF06002.18	295	4.8e-176	581.2	13.4	1	1	2.6e-179	5.4e-176	581.1	13.4	1	295	11	303	11	303	1.00	alpha-2,3-sialyltransferase	[Pasteurella	multocida]
GCF_000583775.1_protein.faa_WP_025399080.1	-	292	CST-I	PF06002.18	295	3.4e-108	358.3	23.9	1	1	6.3e-111	3.8e-108	358.1	23.9	2	295	3	292	2	292	0.97	alpha-2,3-sialyltransferase	[Campylobacter	coli]
GCF_000583775.1_protein.faa_WP_025399205.1	-	473	CST-I	PF06002.18	295	7.3e-48	160.2	18.4	1	2	1.2e-50	7.3e-48	160.2	18.4	104	269	2	164	1	194	0.89	alpha-2,3-sialyltransferase	[Campylobacter	coli]
GCF_000583775.1_protein.faa_WP_025399205.1	-	473	CST-I	PF06002.18	295	7.3e-48	160.2	18.4	2	2	0.69	4.1e+02	-3.1	3.6	236	236	331	331	247	389	0.46	alpha-2,3-sialyltransferase	[Campylobacter	coli]
GCF_000583775.1_protein.faa_WP_025399206.1	-	103	CST-I	PF06002.18	295	1.4e-42	142.9	6.7	1	1	2.6e-45	1.5e-42	142.8	6.7	1	86	14	99	14	103	0.98	alpha-2,3-sialyltransferase	[Campylobacter	coli]
GCF_000698365.1_protein.faa_WP_051614231.1	-	338	CST-I	PF06002.18	295	3.5e-108	358.1	16.2	1	1	2.7e-111	4.5e-108	357.8	16.2	1	294	45	334	45	335	0.95	alpha-2,3-sialyltransferase	[Haemophilus	influenzae]
GCF_000743945.1_protein.faa_WP_051918934.1	-	317	CST-I	PF06002.18	295	2.9e-86	286.2	14.3	1	1	4e-89	3.3e-86	286.0	14.3	2	291	18	312	17	317	0.93	alpha-2,3-sialyltransferase	[Basilea	psittacipulmonis]
GCF_000743945.1_protein.faa_WP_081888796.1	-	249	CST-I	PF06002.18	295	5.3e-80	265.6	10.5	1	1	7.8e-83	6.4e-80	265.3	10.5	2	230	15	240	14	246	0.96	alpha-2,3-sialyltransferase	[Basilea	psittacipulmonis]
GCF_000747585.1_protein.faa_WP_014372804.1	-	100	CST-I	PF06002.18	295	0.0011	15.0	0.0	1	1	7.7e-07	0.0013	14.9	0.0	167	238	20	97	12	100	0.80	30S	ribosomal	protein	S6	[Melissococcus	plutonius]
GCF_000754275.1_protein.faa_WP_231963904.1	-	198	CST-I	PF06002.18	295	9.2e-110	363.6	10.9	1	1	1e-112	1e-109	363.5	10.9	1	185	11	194	11	198	0.98	alpha-2,3-sialyltransferase	[Pasteurella	multocida]
GCF_000754275.1_protein.faa_WP_268870267.1	-	117	CST-I	PF06002.18	295	6.5e-63	209.8	2.1	1	1	6.9e-66	7.1e-63	209.7	2.1	179	295	2	117	1	117	0.99	alpha-2,3-sialyltransferase	[Pasteurella	multocida]
GCF_000757785.1_protein.faa_WP_043085355.1	-	239	CST-I	PF06002.18	295	0.0018	16.0	0.0	1	1	5.3e-07	0.0026	15.4	0.0	170	271	62	163	47	170	0.86	DeoR/GlpR	family	DNA-binding	transcription	regulator	[Pluralibacter	gergoviae]
GCF_000759575.2_protein.faa_WP_002858290.1	-	294	CST-I	PF06002.18	295	1.1e-167	553.4	28.7	1	1	7.7e-171	1.3e-167	553.3	28.7	1	295	5	288	5	288	1.00	MULTISPECIES:	alpha-2,3-sialyltransferase	[Campylobacter]
GCF_000767075.1_protein.faa_WP_038440754.1	-	328	CST-I	PF06002.18	295	2.7e-107	355.3	16.0	1	1	1.9e-110	3.3e-107	355.0	16.0	1	294	35	324	35	325	0.94	alpha-2,3-sialyltransferase	[Haemophilus	influenzae]
GCF_000775355.2_protein.faa_WP_038275658.1	-	179	CST-I	PF06002.18	295	0.012	12.7	0.0	1	1	4.5e-06	0.015	12.4	0.0	167	263	18	116	6	131	0.74	class	IV	adenylate	cyclase	[Yersinia	ruckeri]
GCF_000807375.1_protein.faa_WP_003131983.1	-	66	CST-I	PF06002.18	295	0.0057	13.2	0.3	1	1	2.4e-06	0.0057	13.2	0.3	150	183	5	38	1	52	0.86	MULTISPECIES:	hypothetical	protein	[Lactococcus]
GCF_000816185.1_protein.faa_WP_039650709.1	-	294	CST-I	PF06002.18	295	1.8e-109	362.2	27.1	1	1	1.4e-112	2e-109	362.0	27.1	1	295	4	293	4	293	0.97	alpha-2,3-sialyltransferase	[Campylobacter	insulaenigrae]
GCF_000816265.1_protein.faa_WP_039664428.1	-	300	CST-I	PF06002.18	295	1.4e-121	402.1	31.3	1	1	9.5e-125	1.6e-121	401.9	31.3	2	295	6	294	5	294	0.99	alpha-2,3-sialyltransferase	[Campylobacter	subantarcticus]
GCF_000816305.1_protein.faa_WP_256378647.1	-	140	CST-I	PF06002.18	295	8.7e-33	110.8	11.3	1	1	5.2e-36	9.5e-33	110.6	11.3	15	152	1	140	1	140	0.92	alpha-2,3-sialyltransferase	[Campylobacter	subantarcticus]
GCF_000830775.1_protein.faa_WP_002858290.1	-	294	CST-I	PF06002.18	295	1.1e-167	553.4	28.7	1	1	7.7e-171	1.2e-167	553.3	28.7	1	295	5	288	5	288	1.00	MULTISPECIES:	alpha-2,3-sialyltransferase	[Campylobacter]
GCF_000830805.1_protein.faa_WP_002858290.1	-	294	CST-I	PF06002.18	295	1.1e-167	553.4	28.7	1	1	7.7e-171	1.2e-167	553.3	28.7	1	295	5	288	5	288	1.00	MULTISPECIES:	alpha-2,3-sialyltransferase	[Campylobacter]
GCF_000830825.1_protein.faa_WP_002858290.1	-	294	CST-I	PF06002.18	295	1.1e-167	553.4	28.7	1	1	7.7e-171	1.2e-167	553.3	28.7	1	295	5	288	5	288	1.00	MULTISPECIES:	alpha-2,3-sialyltransferase	[Campylobacter]
GCF_000830845.1_protein.faa_WP_002858290.1	-	294	CST-I	PF06002.18	295	1.1e-167	553.4	28.7	1	1	7.7e-171	1.2e-167	553.3	28.7	1	295	5	288	5	288	1.00	MULTISPECIES:	alpha-2,3-sialyltransferase	[Campylobacter]
GCF_000830865.1_protein.faa_WP_002858290.1	-	294	CST-I	PF06002.18	295	1.1e-167	553.4	28.7	1	1	7.7e-171	1.2e-167	553.3	28.7	1	295	5	288	5	288	1.00	MULTISPECIES:	alpha-2,3-sialyltransferase	[Campylobacter]
GCF_000834255.1_protein.faa_WP_042528045.1	-	179	CST-I	PF06002.18	295	0.011	12.7	0.0	1	1	4.6e-06	0.014	12.3	0.0	167	263	18	116	6	131	0.74	class	IV	adenylate	cyclase	[Yersinia	ruckeri]
GCF_000835285.1_protein.faa_WP_042635873.1	-	292	CST-I	PF06002.18	295	4.4e-108	357.9	23.8	1	1	2.9e-111	4.9e-108	357.7	23.8	2	295	3	292	2	292	0.97	MULTISPECIES:	alpha-2,3-sialyltransferase	[Campylobacter]
GCF_000835305.1_protein.faa_WP_002874242.1	-	291	CST-I	PF06002.18	295	2.5e-109	361.9	24.9	1	1	1.7e-112	2.8e-109	361.7	24.9	2	295	3	291	2	291	0.98	alpha-2,3-sialyltransferase	[Campylobacter	jejuni]
GCF_000835345.1_protein.faa_WP_002858290.1	-	294	CST-I	PF06002.18	295	1.2e-167	553.4	28.7	1	1	7.7e-171	1.4e-167	553.3	28.7	1	295	5	288	5	288	1.00	MULTISPECIES:	alpha-2,3-sialyltransferase	[Campylobacter]
GCF_000835365.1_protein.faa_WP_002858290.1	-	294	CST-I	PF06002.18	295	1.3e-167	553.4	28.7	1	1	7.7e-171	1.4e-167	553.3	28.7	1	295	5	288	5	288	1.00	MULTISPECIES:	alpha-2,3-sialyltransferase	[Campylobacter]
GCF_000931575.1_protein.faa_WP_230305194.1	-	299	CST-I	PF06002.18	295	1.1e-107	356.5	15.9	1	1	1.5e-110	1.3e-107	356.3	15.9	1	295	5	293	5	293	0.96	alpha-2,3-sialyltransferase	[Haemophilus	aegyptius]
GCF_000931575.1_protein.faa_WP_044332494.1	-	324	CST-I	PF06002.18	295	2.1e-107	355.6	16.6	1	1	3e-110	2.6e-107	355.3	16.6	1	294	31	320	31	321	0.94	alpha-2,3-sialyltransferase	[Haemophilus	influenzae]
GCF_000931605.1_protein.faa_WP_224064295.1	-	299	CST-I	PF06002.18	295	3.5e-108	358.2	14.1	1	1	4.8e-111	4e-108	357.9	14.1	2	295	6	293	5	293	0.96	alpha-2,3-sialyltransferase	[Haemophilus	influenzae]
GCF_000931605.1_protein.faa_WP_044345376.1	-	314	CST-I	PF06002.18	295	3.4e-107	354.9	19.5	1	1	4.9e-110	4.1e-107	354.6	19.5	1	294	23	312	23	313	0.95	alpha-2,3-sialyltransferase	[Haemophilus	influenzae]
GCF_000931625.1_protein.faa_WP_245603032.1	-	340	CST-I	PF06002.18	295	3e-107	355.2	16.0	1	1	2.2e-110	3.8e-107	354.8	16.0	1	294	47	336	47	337	0.94	alpha-2,3-sialyltransferase	[Haemophilus	influenzae]
GCF_000964565.1_protein.faa_WP_038244395.1	-	179	CST-I	PF06002.18	295	0.011	12.7	0.0	1	1	4.5e-06	0.014	12.4	0.0	167	263	18	116	6	131	0.74	class	IV	adenylate	cyclase	[Yersinia	ruckeri]
GCF_000968335.1_protein.faa_WP_046067584.1	-	316	CST-I	PF06002.18	295	2.6e-107	355.4	16.0	1	1	3.4e-110	3.1e-107	355.2	16.0	1	294	23	312	23	313	0.94	alpha-2,3-sialyltransferase	[Haemophilus	influenzae]
GCF_000968335.1_protein.faa_WP_046067686.1	-	324	CST-I	PF06002.18	295	6.3e-107	354.2	15.8	1	1	8.2e-110	7.5e-107	353.9	15.8	1	295	30	318	30	318	0.96	alpha-2,3-sialyltransferase	[Haemophilus	influenzae]
GCF_001272655.2_protein.faa_WP_155613692.1	-	116	CST-I	PF06002.18	295	0.0026	15.5	0.2	1	1	5.4e-07	0.0029	15.4	0.2	110	171	25	88	4	106	0.77	hypothetical	protein	[Paenibacillus	peoriae]
GCF_001299565.1_protein.faa_WP_002852706.1	-	291	CST-I	PF06002.18	295	6.7e-109	360.5	26.7	1	1	4.6e-112	7.5e-109	360.3	26.7	2	295	3	291	2	291	0.98	MULTISPECIES:	alpha-2,3-sialyltransferase	[Campylobacter]
GCF_001299595.1_protein.faa_WP_002852706.1	-	291	CST-I	PF06002.18	295	6.7e-109	360.5	26.7	1	1	4.6e-112	7.5e-109	360.3	26.7	2	295	3	291	2	291	0.98	MULTISPECIES:	alpha-2,3-sialyltransferase	[Campylobacter]
GCF_001314285.1_protein.faa_WP_002858290.1	-	294	CST-I	PF06002.18	295	1.1e-167	553.4	28.7	1	1	7.7e-171	1.2e-167	553.3	28.7	1	295	5	288	5	288	1.00	MULTISPECIES:	alpha-2,3-sialyltransferase	[Campylobacter]
GCF_001457655.1_protein.faa_WP_058222186.1	-	334	CST-I	PF06002.18	295	1.1e-108	359.9	20.3	1	1	1.5e-111	1.3e-108	359.6	20.3	1	294	41	330	41	331	0.95	alpha-2,3-sialyltransferase	[Haemophilus	influenzae]
GCF_001457655.1_protein.faa_WP_058222142.1	-	338	CST-I	PF06002.18	295	5.4e-108	357.6	14.1	1	1	7.6e-111	6.7e-108	357.3	14.1	2	295	45	332	44	332	0.96	alpha-2,3-sialyltransferase	[Haemophilus	influenzae]
GCF_001457695.1_protein.faa_WP_002882964.1	-	291	CST-I	PF06002.18	295	1.5e-107	356.0	26.2	1	1	2.1e-110	1.7e-107	355.9	26.2	2	295	3	291	2	291	0.98	alpha-2,3-sialyltransferase	[Campylobacter	jejuni]
GCF_001457695.1_protein.faa_WP_016818344.1	-	424	CST-I	PF06002.18	295	8.4e-87	288.0	20.7	1	2	1e-89	8.4e-87	288.0	20.7	2	253	13	258	12	268	0.97	alpha-2,3-sialyltransferase	[Campylobacter	jejuni]
GCF_001457695.1_protein.faa_WP_016818344.1	-	424	CST-I	PF06002.18	295	8.4e-87	288.0	20.7	2	2	0.042	35	0.3	0.3	165	282	292	325	262	337	0.56	alpha-2,3-sialyltransferase	[Campylobacter	jejuni]
GCF_001484935.1_protein.faa_WP_049069512.1	-	78	CST-I	PF06002.18	295	0.013	12.7	0.0	1	1	3.8e-06	0.014	12.6	0.0	232	284	18	68	10	76	0.79	MULTISPECIES:	hypothetical	protein	[Acinetobacter]
GCF_001548095.1_protein.faa_WP_066349022.1	-	148	CST-I	PF06002.18	295	0.00059	17.1	0.9	1	1	1.9e-07	0.00067	16.9	0.9	96	209	17	133	4	144	0.81	PIN	domain-containing	protein	[Geminocystis	sp.	NIES-3708]
GCF_001553545.1_protein.faa_WP_066430650.1	-	217	CST-I	PF06002.18	295	0.003	14.2	0.4	1	1	2.4e-06	0.0055	13.3	0.3	40	125	60	148	53	171	0.84	potassium	channel	family	protein	[Capnocytophaga	haemolytica]
GCF_001563565.1_protein.faa_WP_002878823.1	-	291	CST-I	PF06002.18	295	2.3e-109	362.0	24.7	1	1	1.5e-112	2.6e-109	361.9	24.7	2	295	3	291	2	291	0.98	MULTISPECIES:	alpha-2,3-sialyltransferase	[Campylobacter]
